Id|ExportNaarOrafin|NaamAflopend sorteren|Alternatieve naam subsidieregister
DVR000001664|True|Subsidies VIA-akkoorden - uitbreidingstewerkstelling|Subsidies VIA-akkoorden - uitbreidingstewerkstelling
DVR000001665|True|Subsidies voor projecten in uitvoering van Vlaams strategisch belang (coördinatie)|Subsidies voor projecten in uitvoering van Vlaams strategisch belang (coördinatie)
DVR000001666|True|Subsidies voor projecten in uitvoering van Vlaams strategisch belang (verwerving)|Subsidies voor projecten in uitvoering van Vlaams strategisch belang (verwerving)
DVR000001667|True|Subsidies voor ruimtelijke impulsprojecten|Subsidies voor ruimtelijke impulsprojecten
DVR000001668|True|Subsidies voor uitvoering van landinrichtingsplannen (uitdovend)|Subsidies voor uitvoering van landinrichtingsplannen (uitdovend)
DVR000001671|True|Erkenning en subsidiëring inloopteams|Erkenning en subsidiëring inloopteams
DVR000001672|True|Erkenning en subsidiëring consultatiebureaus|Erkenning en subsidiëring consultatiebureaus
DVR000001673|True|Subsidies voor leveringen aan voorzieningen preventieve zorg en voor huisbezoeken|Subsidies voor leveringen aan voorzieningen preventieve zorg en voor huisbezoeken
DVR000001674|True|Subsidies aan ziekenhuizen met kraamkliniek voor infovergadering kind op komst|Subsidies aan ziekenhuizen met kraamkliniek voor infovergadering kind op komst
DVR000001675|True|Subsidies aan prenatale steunpunten|Subsidies aan prenatale steunpunten
DVR000001676|True|Erkenning en subsidiëring expertisecentra kraamzorg|Erkenning en subsidiëring expertisecentra kraamzorg
DVR000001677|True|Erkenning en subsidiëring huizen van het kind|Erkenning en subsidiëring huizen van het kind
DVR000001678|True|Subsidie/toelage vormingsinitiatieven kinderopvang|Subsidie/toelage vormingsinitiatieven kinderopvang
DVR000001679|True|Projectsubsidies kinderopvang|Projectsubsidies kinderopvang
DVR000001680|True|Subsidie voor de gemandateerde voorzieningen ikv kinderopvang|Subsidie voor de gemandateerde voorzieningen ikv kinderopvang
DVR000001681|True|Subsidie kinderopvang - basissubsidie gezinsopvang|Subsidie kinderopvang - basissubsidie gezinsopvang
DVR000001682|True|Subsidie kinderopvang - basissubsidie groepsopvang|Subsidie kinderopvang - basissubsidie groepsopvang
DVR000001683|True|Subsidie kinderopvang - subsidie voor inkomenstarief gezinsopvang|Subsidie kinderopvang - subsidie voor inkomenstarief gezinsopvang
DVR000001684|True|Subsidie kinderopvang - subsidie voor inkomenstarief groepsopvang|Subsidie kinderopvang - subsidie voor inkomenstarief groepsopvang
DVR000001685|True|Subsidie kinderopvang - plussubsidie gezinsopvang|Subsidie kinderopvang - plussubsidie gezinsopvang
DVR000001686|True|Subsidie kinderopvang - plussubsidie groepsopvang|Subsidie kinderopvang - plussubsidie groepsopvang
DVR000001687|True|Subsidie voor kinderopvang met flexibele openingstijden gezinsopvang|Subsidie voor kinderopvang met flexibele openingstijden gezinsopvang
DVR000001688|True|Subsidie voor kinderopvang met flexibele openingstijden groepsopvang|Subsidie voor kinderopvang met flexibele openingstijden groepsopvang
DVR000001689|True|Subsidie kinderopvang - subsidie voor individuele inclusieve gezinsopvang|Subsidie kinderopvang - subsidie voor individuele inclusieve gezinsopvang
DVR000001690|True|Subsidie kinderopvang - subsidie voor individuele inclusieve groepsopvang|Subsidie kinderopvang - subsidie voor individuele inclusieve groepsopvang
DVR000001691|True|Subsidie kinderopvang - subsidie voor structurele inclusieve gezinsopvang|Subsidie kinderopvang - subsidie voor structurele inclusieve gezinsopvang
DVR000001692|True|Subsidie kinderopvang - subsidie voor structurele inclusieve groepsopvang|Subsidie kinderopvang - subsidie voor structurele inclusieve groepsopvang
DVR000001693|True|Subsidie kinderopvang - subsidie voor Centrum inclusieve kinderopvang|Subsidie kinderopvang - subsidie voor Centrum inclusieve kinderopvang
DVR000001694|True|Subsidie groepsopvang samenwerking|Subsidie groepsopvang samenwerking
DVR000001695|True|Subsidie voor basisaanbod buitenschoolse opvang|Subsidie voor basisaanbod buitenschoolse opvang
DVR000001696|True|Subsidie voor initiatief buitenschoolse opvang|Subsidie voor initiatief buitenschoolse opvang
DVR000001697|True|Subsidie voor inkomenstarief buitenschoolse opvang|Subsidie voor inkomenstarief buitenschoolse opvang
DVR000001698|True|Subsidie voor kinderen uit achtergestelde gebieden|Subsidie voor kinderen uit achtergestelde gebieden
DVR000001699|True|Subsidie voor buitenschoolse opvang in een afzonderlijke binnenruimte|Subsidie voor buitenschoolse opvang in een afzonderlijke binnenruimte
DVR000001700|True|Subsidie voor buitenschoolse opvang met flexibele openingstijden|Subsidie voor buitenschoolse opvang met flexibele openingstijden
DVR000001701|True|Subsidie voor occasionele buitenschoolse opvang|Subsidie voor occasionele buitenschoolse opvang
DVR000001702|True|Subsidie voor individuele inclusieve buitenschoolse opvang|Subsidie voor individuele inclusieve buitenschoolse opvang
DVR000001703|True|Subsidie voor structurele inclusieve buitenschoolse opvang|Subsidie voor structurele inclusieve buitenschoolse opvang
DVR000001704|True|Subsidie buitenschoolse opvang - subsidie voor generatiepact|Subsidie buitenschoolse opvang - subsidie voor generatiepact
DVR000001705|True|Subsidie voor gemandateerde voorzieningen, coördinatiepunten en flexibele opvangpools|Subsidie voor gemandateerde voorzieningen, coördinatiepunten en flexibele opvangpools
DVR000001706|True|Subsidie voor lokale dienst buurtgerichte buitenschoolse opvang|Subsidie voor lokale dienst buurtgerichte buitenschoolse opvang
DVR000001707|True|Subsidie voor projecten vanuit het vroegere FCUD en voor personeelsleden met een gewezen gescostatuut|Subsidie voor projecten vanuit het vroegere FCUD en voor personeelsleden met een gewezen gescostatuut
DVR000001708|True|Subsidie kinderopvang en buitenschoolse opvang ter uitvoering van VIA|Subsidie kinderopvang en buitenschoolse opvang ter uitvoering van VIA
DVR000001709|True|Projectsubsidie kinderopvang - ivm werknemersstatuut|Projectsubsidie kinderopvang - ivm werknemersstatuut
DVR000001710|True|Projectsubsidie ivm pedagogische ondersteuning|Projectsubsidie ivm pedagogische ondersteuning
DVR000001711|True|Erkenning en subsidiëring vertrouwenscentra kinderopvang|Erkenning en subsidiëring vertrouwenscentra kinderopvang
DVR000001712|True|Erkenning en subsidiëring centra voor kinderzorg en gezinsondersteuning|Erkenning en subsidiëring centra voor kinderzorg en gezinsondersteuning
DVR000001713|True|Projectsubsidies PGO en adoptie|Projectsubsidies PGO en adoptie
DVR000001714|True|Projectsubsidies gezinsondersteuning|Projectsubsidies gezinsondersteuning
DVR000001715|True|Erkenning en subsidiëring opvoedingswinkels|Erkenning en subsidiëring opvoedingswinkels
DVR000001716|True|Erkenning en subsidiëring groepsgericht aanbod opvoedingsondersteuning|Erkenning en subsidiëring groepsgericht aanbod opvoedingsondersteuning
DVR000001717|True|Adoptiepremie|Adoptiepremie
DVR000001718|True|KOALA|KOALA
DVR000001719|True|Projecten K&G en armoede (vroegere klaverbladen): project|Projecten K&G en armoede (vroegere klaverbladen): project
DVR000001720|True|Ambulant aanbod pgo schoolgaande kinderen (De Ruimtevaart)|Ambulant aanbod pgo schoolgaande kinderen (De Ruimtevaart)
DVR000001721|True|Erkenning en subsidiëring mobiel aanbod door vrijwilligers|Erkenning en subsidiëring mobiel aanbod door vrijwilligers
DVR000001722|True|Erkenning en subsidiëring opvoedingslijn|Erkenning en subsidiëring opvoedingslijn
DVR000001723|True|Subsidies voor spel- en ontmoetingsinitiatieven|Subsidies voor spel- en ontmoetingsinitiatieven
