Id|ExportNaarOrafin|NaamAflopend sorteren|Alternatieve naam subsidieregister
DVR000001876|True|Aanvullende subsidie onbeheerde climaxvegetaties|Aanvullende subsidie onbeheerde climaxvegetaties
DVR000001877|True|Aankoopsubsidie moo erkenning|Aankoopsubsidie moo erkenning
DVR000001881|True|Projectoproep Sport na School|Projectoproep Sport na School
DVR000001884|True|Overdracht wegen|Overdracht wegen
DVR000001885|True|Subsidies in kader van het decreet mobiliteitsbeleid – Projectsubsidies|Subsidies in kader van het decreet mobiliteitsbeleid – Projectsubsidies
DVR000001886|True|Verhogen moduledossier|Verhogen moduledossier
DVR000001887|True|Subsidies in kader van het decreet mobiliteitsbeleid – Samenwerkingsovereenkomst|Subsidies in kader van het decreet mobiliteitsbeleid – Samenwerkingsovereenkomst
DVR000001888|True|Subsidies ruilverkavelingsprojecten|Subsidies ruilverkavelingsprojecten
DVR000001889|True|Leertijd|Leertijd
DVR000001890|True|Ondernemerschapstrajecten|Ondernemerschapstrajecten
DVR000001893|True|Lokale diensteneconomie (LDE)|Lokale diensteneconomie (LDE)
DVR000001894|True|(Her)aanleg riolering KWZI's en IBA's|(Her)aanleg riolering KWZI's en IBA's
DVR000001896|True|Zorggarantiebudget|Zorggarantiebudget
DVR000001897|True|Subsidie milieuvriendelijke energie|Subsidie milieuvriendelijke energie
DVR000001898|True|Subsidie milieuvriendelijke energie groene warmte|Subsidie milieuvriendelijke energie groene warmte
DVR000001899|True|Subsidie milieuvriendelijke energie windturbines|Subsidie milieuvriendelijke energie windturbines
DVR000001900|True|Subsidie milieuvriendelijke energie batterijtechnologie|Subsidie milieuvriendelijke energie batterijtechnologie
DVR000001901|True|Subsidie milieuvriendelijke energie micro-wkk|Subsidie milieuvriendelijke energie micro-wkk
DVR000001902|True|Subsidie milieuvriendelijke energie afbouw certificatenoverschot|Subsidie milieuvriendelijke energie afbouw certificatenoverschot
DVR000001903|True|Subsidie zero-emissie voertuigen|Subsidie zero-emissie voertuigen
DVR000001904|True|Subsidie energie-efficiëntie|Subsidie energie-efficiëntie
DVR000001905|True|Subsidie i.k.v. energieleningen (onder andere energiehuizen)|Subsidie i.k.v. energieleningen (onder andere energiehuizen)
DVR000001906|True|Subsidie sociale energie-efficiëntieprojecten|Subsidie sociale energie-efficiëntieprojecten
DVR000001907|True|Subsidie energiescans|Subsidie energiescans
DVR000001908|True|Subsidie energieconsulentenprojecten|Subsidie energieconsulentenprojecten
DVR000001909|True|Subsidie andere impulsprojecten (energiefonds)|Subsidie andere impulsprojecten (energiefonds)
DVR000001910|True|Subsidie andere energiebeleid algemeen|Subsidie andere energiebeleid algemeen
DVR000001913|True|Gesubs Infra - Haalbaarheidsstudies|Gesubs Infra - Haalbaarheidsstudies
DVR000001914|True|Stedenbeleid - Grootstedenbeleid|Stedenbeleid - Grootstedenbeleid
DVR000001915|True|Stedenbeleid - Plattelandsfonds|Stedenbeleid - Plattelandsfonds
DVR000001916|True|Brussel - Dotatie aan VGC|Brussel - Dotatie aan VGC
DVR000001917|True|Brussel - Werkingsubsidie niet nominatim Brussel|Brussel - Werkingsubsidie niet nominatim Brussel
DVR000001918|True|Vlaamse Rand - Ad nominatim subsidie Vlaamse Rand|Vlaamse Rand - Ad nominatim subsidie Vlaamse Rand
DVR000001919|True|Vlaamse Rand - Werkingsubsidie niet nominatim Vlaamse Rand|Vlaamse Rand - Werkingsubsidie niet nominatim Vlaamse Rand
DVR000001921|True|Overdracht financiële fondsen bodemsanering - Vlabotex|Overdracht financiële fondsen bodemsanering - Vlabotex
DVR000001922|True|AMIF-subsidies (Europees Fonds voor Asiel, Migratie en Integratie)|AMIF-subsidies (Europees Fonds voor Asiel, Migratie en Integratie)
DVR000001923|True|Generieke waarborgregelingen PMV|Generieke waarborgregelingen PMV
DVR000001924|True|Projectsubsidie Innovatieve Overheidsopdrachten|Projectsubsidie Innovatieve Overheidsopdrachten
DVR000001925|True|Collectief O&O en Collectieve Kennisverspreiding (COOCK)|Collectief O&O en Collectieve Kennisverspreiding (COOCK)
DVR000001927|False|Uitbetaling rampenfonds|Uitbetaling rampenfonds
DVR000001928|True|Subsidies Smart@Fire|Subsidies Smart@Fire
DVR000001934|True|Brussel - projectsubsidie Vlaams Brusselfonds (VBF)|Brussel - projectsubsidie Vlaams Brusselfonds (VBF)
DVR000001935|True|Brussel - werkingsubsidie|Brussel - werkingsubsidie
DVR000001936|True|Brussel - werkingsubsidie Vlaams Brusselfonds (VBF)|Brussel - werkingsubsidie Vlaams Brusselfonds (VBF)
DVR000001937|True|Brussel - investeringssubsidie Vlaams Brusselfonds (VBF)|Brussel - investeringssubsidie Vlaams Brusselfonds (VBF)
DVR000001938|True|Subsidie FOLLO leerkrachten|Subsidie FOLLO leerkrachten
DVR000001939|True|Sportkompas|Sportkompas
DVR000001940|True|Erasmus for Young Entrepreneurs|Erasmus for Young Entrepreneurs
DVR000001941|True|Subsidie gezond en ethisch sporten|Subsidie gezond en ethisch sporten
DVR000001942|True|Werkingssubsidie Participatiedecreet Participatie-instellingen (Demos en publiq) Sport Vlaanderen|Werkingssubsidie Participatiedecreet Participatie-instellingen (Demos en publiq) Sport Vlaanderen
DVR000001943|True|Werkingssubsidie Participatiedecreet Participatie-instellingen (Rode Antraciet) Sport Vlaanderen|Werkingssubsidie Participatiedecreet Participatie-instellingen (Rode Antraciet) Sport Vlaanderen
DVR000001944|True|Subsidies aan het Steunpunt welzijn, volksgezondheid en gezin|Subsidies aan het Steunpunt welzijn, volksgezondheid en gezin
DVR000001945|True|Subsidies aan het Kwaliteitscentrum voor Diagnostiek|Subsidies aan het Kwaliteitscentrum voor Diagnostiek
DVR000001946|True|Beschut wonen|Beschut wonen
DVR000001947|True|Stedenbeleid - conceptsubsidie stadsvernieuwingsprojecten|Stedenbeleid - conceptsubsidie stadsvernieuwingsprojecten
DVR000001948|True|Stedenbeleid - projectsubsidie stadsvernieuwingsprojecten|Stedenbeleid - projectsubsidie stadsvernieuwingsprojecten
DVR000001949|True|Stedenbeleid - thematische oproep stadsvernieuwingsprojecten|Stedenbeleid - thematische oproep stadsvernieuwingsprojecten
DVR000001953|True|Subsidie voor de ondersteuning van het maritiem-onderwijs|Subsidie voor de ondersteuning van het maritiem-onderwijs
DVR000001954|True|Projectsubsidie voor energiebesparende investeringen in gebouwen van de Vlaamse hogescholen en universiteiten|Projectsubsidie voor energiebesparende investeringen in gebouwen van de Vlaamse hogescholen en universiteiten
DVR000001955|True|"Projectsubsidie voor SIHO in het kader van het dossier ""digitale handboeken''"|"Projectsubsidie voor SIHO in het kader van het dossier ""digitale handboeken''"
DVR000001956|True|Subsidie aan de universitaire talencentra in het kader van het Vlaamse Inburgeringsbeleid|Subsidie aan de universitaire talencentra in het kader van het Vlaamse Inburgeringsbeleid
DVR000001957|True|"Subsidie in kader van het actieplan ""Opleiding en tewerkstelling in armoede en sociale uitsluiting"""|"Subsidie in kader van het actieplan ""Opleiding en tewerkstelling in armoede en sociale uitsluiting"""
DVR000001958|True|Subsidie voor de professionalisering van de actoren in de volwasseneneducatie verhogen op het vlak van e-leren en gecombineerd leren|Subsidie voor de professionalisering van de actoren in de volwasseneneducatie verhogen op het vlak van e-leren en gecombineerd leren
DVR000001959|True|Beheersovereenkomst Vlaamse Hogescholenraad (VLHORA)|Beheersovereenkomst Vlaamse Hogescholenraad (VLHORA)
DVR000001960|True|Beheersovereenkomst Vlaamse Interuniversitaire Raad (VLIR)|Beheersovereenkomst Vlaamse Interuniversitaire Raad (VLIR)
DVR000001961|True|Projectsubsidie aan de Vlaamse Universiteiten en Hogescholenraad (VLUHR)|Projectsubsidie aan de Vlaamse Universiteiten en Hogescholenraad (VLUHR)
DVR000001962|True|Projectsubsidie aan de vzw SOS Schulden op School voor het schooljaar 2018-2019|Projectsubsidie aan de vzw SOS Schulden op School voor het schooljaar 2018-2019
DVR000001963|True|Projectsubsidie ikv instaptoets in de geïntegreerde lerarenopleidingen|Projectsubsidie ikv instaptoets in de geïntegreerde lerarenopleidingen
DVR000001964|True|Projectsubsidie in het kader van de oproep inzake kansengroepen en polarisering|Projectsubsidie in het kader van de oproep inzake kansengroepen en polarisering
DVR000001965|True|Projectsubsidie KULeuven lerarenopleiders|Projectsubsidie KULeuven lerarenopleiders
DVR000001966|True|Projectsubsidie om schooluitval aan te pakken|Projectsubsidie om schooluitval aan te pakken
DVR000001967|True|Projectsubsidie verbeteren arbeidsomstandigheden contractueel onderhoudspersoneel|Projectsubsidie verbeteren arbeidsomstandigheden contractueel onderhoudspersoneel
DVR000001968|True|Subsidie aan het bijzonder internaat De Rijzende Ster|Subsidie aan het bijzonder internaat De Rijzende Ster
DVR000001969|True|Subsidie in het kader van de pilootprojecten leerlingenvervoer|Subsidie in het kader van de pilootprojecten leerlingenvervoer
DVR000001970|True|Subsidie in het kader van SALK|Subsidie in het kader van SALK
DVR000001971|True|Subsidie om de traumaproblematiek bij asielkinderen aan te pakken|Subsidie om de traumaproblematiek bij asielkinderen aan te pakken
DVR000001972|True|Subsidie om radicalisering in scholen tegen te gaan|Subsidie om radicalisering in scholen tegen te gaan
DVR000001973|True|Subsidie om talentvolle sporters binnen het buitengewoon onderwijs voor te bereiden op topsport|Subsidie om talentvolle sporters binnen het buitengewoon onderwijs voor te bereiden op topsport
DVR000001974|True|Subsidie steunpunt beleidsgericht onderwijsonderzoek|Subsidie steunpunt beleidsgericht onderwijsonderzoek
DVR000001975|True|Subsidie ter ondersteuning van de beste mini-onderneming van Vlaanderen|Subsidie ter ondersteuning van de beste mini-onderneming van Vlaanderen
DVR000001976|True|Subsidie ter ondersteuning van de organisatie van een wetenschappelijke conferentie over onderwijs in Vlaanderen|Subsidie ter ondersteuning van de organisatie van een wetenschappelijke conferentie over onderwijs in Vlaanderen
DVR000001977|True|Subsidie ter ondersteuning van de werking van het Beroepenhuis|Subsidie ter ondersteuning van de werking van het Beroepenhuis
DVR000001978|True|Subsidie ter ondersteuning van thuisonderwijs voor oncologische patiënten kleuteronderwijs|Subsidie ter ondersteuning van thuisonderwijs voor oncologische patiënten kleuteronderwijs
DVR000001979|True|Subsidie Universitair steunpunt toetsontwikkeling en peilingen|Subsidie Universitair steunpunt toetsontwikkeling en peilingen
DVR000001980|True|Subsidie voor de educatieve werking van het Vlaams Instituut voor Archivering|Subsidie voor de educatieve werking van het Vlaams Instituut voor Archivering
DVR000001981|True|Subsidie voor de kosten verbonden aan de uitvoering van het initiatief burgerschapsvorming|Subsidie voor de kosten verbonden aan de uitvoering van het initiatief burgerschapsvorming
DVR000001982|True|Subsidie voor de ondersteuning van het Bijzonder Comité voor Herinneringseducatie|Subsidie voor de ondersteuning van het Bijzonder Comité voor Herinneringseducatie
DVR000001983|True|Subsidie voor de ondersteuning van het onderwijscongres 1000-Old School in de toekomst|Subsidie voor de ondersteuning van het onderwijscongres 1000-Old School in de toekomst
DVR000001984|True|Subsidie voor de personeels- en werkingskosten die verbonden zijn aan het pilootproject partnerschap ter ondersteuning van scholen voor gewoon basisonderwijs in de begeleiding van leerlingen met emotionele en gedragsproblemen|Subsidie voor de personeels- en werkingskosten die verbonden zijn aan het pilootproject partnerschap ter ondersteuning van scholen voor gewoon basisonderwijs in de begeleiding van leerlingen met emotionele en gedragsproblemen
DVR000001985|True|Subsidie voor de personeels-en werkingskosten die worden gemaakt bij de verdere uitbouw van de optie 'Islamitische theologie en godsdienstwetenschappen' binnen de Master of Arts in de wereldreligies|Subsidie voor de personeels-en werkingskosten die worden gemaakt bij de verdere uitbouw van de optie 'Islamitische theologie en godsdienstwetenschappen' binnen de Master of Arts in de wereldreligies
DVR000001986|True|Subsidie voor de verderzetting van het project LARS|Subsidie voor de verderzetting van het project LARS
DVR000001987|True|Subsidie voor de werking van Adibib Vlaanderen en voor het project 'vrij ter beschikking stellen van voorleessoftware via weblicenties'|Subsidie voor de werking van Adibib Vlaanderen en voor het project 'vrij ter beschikking stellen van voorleessoftware via weblicenties'
DVR000001988|True|Subsidie voor het aanpakken van de problematiek rond onbetaalde schoolfacturen|Subsidie voor het aanpakken van de problematiek rond onbetaalde schoolfacturen
DVR000001989|True|Subsidie voor het Agentschap Inburgering en Integratie|Subsidie voor het Agentschap Inburgering en Integratie
DVR000001990|True|Subsidie voor het dekken van de hoge kosten in de opleiding BSO Vrachtwagenchauffeur|Subsidie voor het dekken van de hoge kosten in de opleiding BSO Vrachtwagenchauffeur
DVR000001991|True|Subsidie voor het festival Jeugd & Sport|Subsidie voor het festival Jeugd & Sport
DVR000001992|True|Subsidie voor het netoverschrijdend professionaliseringtraject|Subsidie voor het netoverschrijdend professionaliseringtraject
DVR000001993|True|Subsidie voor het ondersteunen van 5 scholenbanden projecten tussen Vlaamse scholen en scholen in het Zuiden|Subsidie voor het ondersteunen van 5 scholenbanden projecten tussen Vlaamse scholen en scholen in het Zuiden
DVR000001994|True|Subsidie voor het onderzoek naar de samenwerking tussen onderwijs en welzijn op de wijk Kiel te Antwerpen|Subsidie voor het onderzoek naar de samenwerking tussen onderwijs en welzijn op de wijk Kiel te Antwerpen
DVR000001995|True|Subsidie voor het project Vernieuwing Databeheer Onderwijskiezer|Subsidie voor het project Vernieuwing Databeheer Onderwijskiezer
DVR000001996|True|Subsidie voor het verspreiden van het rookverbod in de onderwijsinstellingen|Subsidie voor het verspreiden van het rookverbod in de onderwijsinstellingen
DVR000001997|True|Subsidie voor het verwerken van een ouderbevraging rond hefbomen voor een geslaagd inclusietraject tot een publicatie + organisatie publieksmoment lancering publicatie|Subsidie voor het verwerken van een ouderbevraging rond hefbomen voor een geslaagd inclusietraject tot een publicatie + organisatie publieksmoment lancering publicatie
DVR000001998|True|Subsidie voor impulsen voor een holebibeleid in het onderwijs|Subsidie voor impulsen voor een holebibeleid in het onderwijs
DVR000001999|True|Werkingssubsidie aan Vlaamse Jonge Ondernemingen 2018-2019|Werkingssubsidie aan Vlaamse Jonge Ondernemingen 2018-2019
DVR000002000|True|Werkingssubsidie voor het organiseren van restauratieopleidingen|Werkingssubsidie voor het organiseren van restauratieopleidingen
DVR000002001|True|Projectsubsidie aan de vzw Connectief|Projectsubsidie aan de vzw Connectief
DVR000002002|True|Projectsubsidie vorming busbegeleiders aan hogescholen|Projectsubsidie vorming busbegeleiders aan hogescholen
DVR000002003|True|Projectsubsidie vorming van schoolbesturen|Projectsubsidie vorming van schoolbesturen
DVR000002004|True|Projectsubsidie in kader van een Vlaanderenbreed stageregistratiesysteem|Projectsubsidie in kader van een Vlaanderenbreed stageregistratiesysteem
DVR000002005|True|Projectsubsidie in kader van de instaptoets in de geïntegreerde lerarenopleidingen|Projectsubsidie in kader van de instaptoets in de geïntegreerde lerarenopleidingen
DVR000002006|True|Projectsubsidie SODA-app|Projectsubsidie SODA-app
DVR000002007|True|Subsidie voor de werking van de online chat voor CLB's|Subsidie voor de werking van de online chat voor CLB's
DVR000002008|True|Subsidie voor aanklampende zorg voor mensen met psychische problemen die sociaal huren|Subsidie voor aanklampende zorg voor mensen met psychische problemen die sociaal huren
DVR000002009|True|Steunpunt voor geestelijke gezondheid|Steunpunt voor geestelijke gezondheid
DVR000002010|True|Subsidie voor familieplatform geestelijke gezondheid|Subsidie voor familieplatform geestelijke gezondheid
DVR000002011|True|Subsidie voor overlegplatformen geestelijke gezondheid|Subsidie voor overlegplatformen geestelijke gezondheid
DVR000002012|True|Werkingssubsidie mutualiteiten|Werkingssubsidie mutualiteiten
DVR000002013|True|Ziekenhuistwaalfde|Ziekenhuistwaalfde
DVR000002014|True|Voorschotten mutualiteiten|Voorschotten mutualiteiten
DVR000002015|True|Subsidie voor adviserende geneesheren|Subsidie voor adviserende geneesheren
DVR000002471| |Wettiging handtekening|pagina 7 van de hyperlink vermeldt dat er verschillende instanties (niveau) bevoegd zijn
