Id|NaamAflopend sorteren|nieuwe verantwoordelijke entiteit|nieuwe OVO-code verantw ent
DVR000002158|Vrijstelling of vermindering van inschrijvingsgeld in het volwassenenonderwijs|Departement Onderwijs en Vorming|OVO000049
DVR000002159|Een diploma secundair onderwijs behalen via het secundair volwassenenonderwijs (vroeger tweedekansonderwijs)|Departement Onderwijs en Vorming|OVO000049
DVR000002160|Begeleiding van inburgeraars (het Inburgeringstraject)|Agentschap Integratie en Inburgering|OVO001846
DVR000002161|Verplichte keuring van de waterleidingen bij nieuwbouw en renovatie|Vlaamse Maatschappij voor Watervoorziening (De Watergroep)|OVO000111
DVR000002162|Erkenning van een wildbeheereenheid|Agentschap voor Natuur en Bos|OVO000089
DVR000002163|Premie voor het behalen van een diploma secundair onderwijs via het volwassenenonderwijs|Agentschap voor Hoger Onderwijs, Volwassenenonderwijs, Kwalificaties en Studietoelagen|OVO001951
DVR000002164|Verhoogde vermindering van de onroerende voorheffing voor bescheiden woning|Vlaamse Belastingdienst|OVO000031
DVR000002167|Erkenning van mestvoerders|Vlaamse Landmaatschappij|OVO000094
DVR000002168|Registratie van verzenders van meststoffen|Vlaamse Landmaatschappij|OVO000094
DVR000002169|Aangifte bij de Mestbank|Vlaamse Landmaatschappij|OVO000094
DVR000002170|Subsidies in het kader van cultuurkuur en dynamo3|Departement Onderwijs en Vorming|OVO000049
DVR000002171|Startbanenproject 'Scholen voor Jongeren - Jongeren voor Scholen' voor een positief schoolklimaat|Agentschap voor Onderwijsdiensten|OVO000050
DVR000002172|Lerarenkaart|Departement Onderwijs en Vorming|OVO000049
DVR000002173|Startbanenproject Verkeersveiligheid voor veiliger woon-schoolverkeer|Agentschap voor Onderwijsdiensten|OVO000050
DVR000002174|Bevolkingsonderzoek bij pasgeborenen naar aangeboren aandoeningen via een bloedonderzoek|Agentschap Zorg en Gezondheid|OVO000059
DVR000002175|Erasmus uitwisselingsprogramma en Erasmusbeurs om in het buitenland te studeren|Europese Commissie|OVO004097
DVR000002176|Aanvraag tot onderzoek van het binnenmilieu in een woning of openbaar gebouw|Agentschap Zorg en Gezondheid|OVO000059
DVR000002177|Energieprestatiecertificaat voor een publiek gebouw|Vlaams Energieagentschap |OVO000090
DVR000002178|Jaarlijkse verkeersbelasting voor aan te geven voertuigen|Dienst inschrijving voertuigen|OVO027269
DVR000002179|Erkenning van bedrijfsgezondheidsdiensten|Agentschap Zorg en Gezondheid|OVO000059
DVR000002180|Gratis controle van putwater bij eigen grondwaterwinning|Vlaamse Milieumaatschappij|OVO000092
DVR000002181|Individuele Beroepsopleiding (IBO) voor werkzoekenden|Vlaamse Dienst voor Arbeidsbemiddeling en Beroepsopleiding|OVO000078
DVR000002182|Ontheffing van loodsplicht voor kleine zeeschepen|Agentschap voor Maritieme Dienstverlening en Kust|OVO000097
DVR000002183|Jaarlijkse verkeersbelasting voor personenwagens en aanverwante voertuigen|Dienst inschrijving voertuigen|OVO027269
DVR000002184|Onroerende voorheffing|Vlaamse Belastingdienst|OVO000031
DVR000002185|Heffing op de winning van grondwater|Vlaamse Milieumaatschappij|OVO000092
DVR000002186|Erkenning als Vlaams ontwikkelingsfonds voor microfinanciering in de ontwikkelingssamenwerking|Departement Buitenlandse Zaken|OVO000032
DVR000002187|Vergunning voor watervang|De Vlaamse Waterweg|OVO000112
DVR000002188|Sociaal tarief en vrijstelling van de heffing op de waterverontreiniging|Vlaamse Milieumaatschappij|OVO000092
DVR000002189|Omgevingsvergunning voor het wijzigen van kleine landschapselementen of vegetaties|Agentschap voor Natuur en Bos|OVO000089
DVR000002190|Omnipas 65+|Vlaamse Vervoermaatschappij - De Lijn|OVO000100
DVR000002191|Kaart voor kosteloze begeleider van een persoon met een handicap op het openbaar vervoer|Nationale Maatschappij der Belgische Spoorwegen|OVO003863
DVR000002192|Gratis abonnement van De Lijn voor personen met een handicap|Vlaamse Vervoermaatschappij - De Lijn|OVO000100
DVR000002193|Buzzy Pazz of Omnipas 'Vervoersgarantie' (VG)|Vlaamse Vervoermaatschappij - De Lijn|OVO000100
DVR000002194|Euregio-ticket (dagpas bus en trein gebied Euregio Maas - Rijn)|Vlaamse Vervoermaatschappij - De Lijn|OVO000100
DVR000002195|Gratis abonnement van NMBS en De Lijn voor oorlogsinvaliden en oud-strijders|Nationale Maatschappij der Belgische Spoorwegen|OVO003863
DVR000002196|Attest voor personenvervoer voor eigen rekening|Departement Mobiliteit en Openbare Werken|OVO000096
DVR000002197|Machtiging voor de tijdelijke vervanging van een voertuig van een taxidienst of verhuurdienst|Departement Mobiliteit en Openbare Werken|OVO000096
DVR000002198|Vergunning voor het uitbaten van een taxidienst|Departement Mobiliteit en Openbare Werken|OVO000096
DVR000002199|Vergunning voor de verhuur van voertuigen met bestuurder|Departement Mobiliteit en Openbare Werken|OVO000096
DVR000002200|Vergunning voor het organiseren van grensoverschrijdend geregeld vervoer|Departement Mobiliteit en Openbare Werken|OVO000096
DVR000002201|Erkenning en subsidiëring van kunstenaars en professionele kunstenorganisaties|Departement Cultuur, Jeugd en Media|OVO000067
DVR000002202|Erkenning en subsidiëring van sportfederaties en organisaties voor sportieve vrijetijdsbesteding|Sport Vlaanderen|OVO000070
DVR000002203|Erkenning en vergunning van een radio-omroep|Vlaamse Regulator voor de Media|OVO000071
DVR000002204|Praktische ondersteuning voor sportpromotionele evenementen|Sport Vlaanderen|OVO000070
DVR000002205|Subsidiedatabank voor ondernemingen|Agentschap Innoveren en Ondernemen|OVO000039
DVR000002206|Aspirantenmandaat|Fonds Wetenschappelijk Onderzoek Vlaanderen|OVO025831
DVR000002207|Steun voor kmo's bij toepassing van milieu- en energievriendelijke technologie (PRODEM)|Vlaamse Instelling voor Technologisch Onderzoek|OVO000041
DVR000002208|Investering van risicokapitaal in beloftevolle kmo's (Arkimedes)|ParticipatieMaatschappij Vlaanderen|OVO000044
DVR000002209|Investering in een creatieve onderneming (CultuurInvest)|ParticipatieMaatschappij Vlaanderen|OVO000044
DVR000002210|Vergunning of overeenkomst om bijzondere vormen van geregeld vervoer te organiseren|Departement Mobiliteit en Openbare Werken|OVO000096
DVR000002211|Ontheffing van loodsplicht voor grote zeeschepen|Agentschap voor Maritieme Dienstverlening en Kust|OVO000097
DVR000002212|Vergunning voor het privégebruik van waterwegen en hun aanhorigheden|De Vlaamse Waterweg|OVO000112
DVR000002213|Buzzy Pazz of Omnipas 'Verhoogde Tegemoetkoming' (VT)|Vlaamse Vervoermaatschappij - De Lijn|OVO000100
DVR000002214|Bemiddelaar Grootschalige Vlaamse Infrastructuurprojecten|Departement Mobiliteit en Openbare Werken|OVO000096
DVR000002215|Subsidies voor duurzaam woon-werkverkeer via het Pendelfonds|Departement Mobiliteit en Openbare Werken|OVO000096
DVR000002216|Subsidie voor een actieprogramma duurzame mobiliteit van een niet-erkende mobiliteitsvereniging|Departement Mobiliteit en Openbare Werken|OVO000096
DVR000002217|Doctoraatsbeurs strategisch basisonderzoek|Fonds Wetenschappelijk Onderzoek Vlaanderen|OVO025831
DVR000002218|Klinische doctoraatsbeurs|Fonds Wetenschappelijk Onderzoek Vlaanderen|OVO025831
DVR000002219|Bijzondere doctoraatsbeurs|Fonds Wetenschappelijk Onderzoek Vlaanderen|OVO025831
DVR000002220|Mandaat postdoctoraal onderzoeker|Fonds Wetenschappelijk Onderzoek Vlaanderen|OVO025831
DVR000002221|Fundamenteel klinisch mandaat|Fonds Wetenschappelijk Onderzoek Vlaanderen|OVO025831
DVR000002222|Krediet voor individuele onderzoeker|Fonds Wetenschappelijk Onderzoek Vlaanderen|OVO025831
DVR000002223|Steun voor wetenschappelijke internationale samenwerking en contacten|Fonds Wetenschappelijk Onderzoek Vlaanderen|OVO025831
DVR000002224|Waarborgregeling boven 1,5 miljoen euro|ParticipatieMaatschappij Vlaanderen|OVO000044
