Id|NaamAflopend sorteren|nieuwe verantwoordelijke entiteit|nieuwe OVO-code verantw ent
DVR000002388|Kampeertenten lenen|Departement Cultuur, Jeugd en Media|OVO000067
DVR000002389|Subsidies voor internationaal ondernemen|Vlaams Agentschap voor Internationaal Ondernemen|OVO000035
DVR000002390|Exportmeter|Vlaams Agentschap voor Internationaal Ondernemen|OVO000035
DVR000002391|Leerlingenkaart|Vlaamse Scholierenkoepel|OVO008590
DVR000002392|Subsidies voor de bouw en renovatie van scholen|Agentschap voor Infrastructuur in het Onderwijs|OVO000053
DVR000002393|Een vrijstelling aanvragen in het hoger onderwijs of toegang krijgen tot het hoger onderwijs via eerdere studies of werkervaring|Departement Onderwijs en Vorming|OVO000049
DVR000002394|Sloopinventaris afvalstoffen|Openbare Vlaamse Afvalstoffenmaatschappij|OVO000091
DVR000002395|Aansluiten bij de Vlaamse Sociale Bescherming|Agentschap Vlaamse Sociale Bescherming|OVO000120
DVR000002396|Minimale levering van elektriciteit en aardgas voor wie een budgetmeter heeft|Vlaams Energieagentschap |OVO000090
DVR000002397|Verplicht onderhoud van uw cv-installatie (centrale verwarming)|Departement Omgeving|OVO003323
DVR000002398|EPC Bouw|Vlaams Energieagentschap |OVO000090
DVR000002399|Medaille voor sociaal-culturele inzet|Departement Cultuur, Jeugd en Media|OVO000067
DVR000002400|Controle en onderhoud van de stookolietank van een woning|Departement Omgeving|OVO003323
DVR000002401|Proportionele vermindering van de onroerende voorheffing|Vlaamse Belastingdienst|OVO000031
DVR000002402|Verkooprechten (Registratiebelastingen)|Vlaamse Belastingdienst|OVO000031
DVR000002403|Schenkbelasting (Registratiebelasting)|Vlaamse Belastingdienst|OVO000031
DVR000002404|Erfbelasting|Vlaamse Belastingdienst|OVO000031
DVR000002405|Vrijstelling van erfbelasting op de gezinswoning voor de langstlevende partner|Vlaamse Belastingdienst|OVO000031
DVR000002406|Recht op hypotheekvestiging (Registratiebelastingen)|Vlaamse Belastingdienst|OVO000031
DVR000002407|Verdeelrechten (Registratiebelastingen)|Vlaamse Belastingdienst|OVO000031
DVR000002408|Aankoop van een sociale woning of bouwgrond bij een sociale huisvestingsmaatschappij (SHM)|Vlaamse Maatschappij voor Sociaal Wonen|OVO000103
DVR000002409|Vermindering van de verkooprechten voor een bescheiden woning (Klein beschrijf)|Vlaamse Belastingdienst|OVO000031
DVR000002410|Meeneembaarheid van verkooprechten|Vlaamse Belastingdienst|OVO000031
DVR000002411|Vermindering van de verkooprechten voor een enige woning (Abattement)|Vlaamse Belastingdienst|OVO000031
DVR000002412|Vermindering van de verkooprechten bij een hypothecaire lening voor een enige woning (Bijabattement)|Vlaamse Belastingdienst|OVO000031
DVR000002413|Vermindering van de verkooprechten bij renovatie van een verwaarloosd of leegstaand pand (Renovatie-abattement)|Vlaamse Belastingdienst|OVO000031
DVR000002414|Huisonderwijs voor leerplichtige kinderen|Agentschap voor Onderwijsdiensten|OVO000050
DVR000002415|Tegemoetkoming in reis- en verblijfkosten voor internationale samenwerking rond volksontwikkeling en lokaal cultuurbeleid|Departement Cultuur, Jeugd en Media|OVO000067
DVR000002416|Vakantieaanbod met korting voor mensen die het financieel moeilijk hebben|Toerisme Vlaanderen|OVO000034
DVR000002417|Toelatingsexamens arts en tandarts|Agentschap voor Hoger Onderwijs, Volwassenenonderwijs, Kwalificaties en Studietoelagen|OVO001951
DVR000002418|Tijdelijk Onderwijs Aan Huis (TOAH) voor zieke leerlingen|Agentschap voor Onderwijsdiensten|OVO000050
DVR000002419|Een getuigschrift basisonderwijs behalen via de Examencommissie basisonderwijs|Departement Onderwijs en Vorming|OVO000049
DVR000002420|Een diploma of getuigschrift secundair onderwijs behalen via de Examencommissie secundair onderwijs|Agentschap voor Hoger Onderwijs, Volwassenenonderwijs, Kwalificaties en Studietoelagen|OVO001951
DVR000002421|Leerlingenvervoer in het buitengewoon onderwijs|Departement Onderwijs en Vorming|OVO000049
DVR000002422|Vermindering van de onroerende voorheffing voor personen met een handicap|Vlaamse Belastingdienst|OVO000031
DVR000002423|Geïntegreerd onderwijs: GON-begeleiding in het onderwijs|Agentschap voor Onderwijsdiensten|OVO000050
DVR000002424|Groenestroomcertificaten voor zonnepanelen|Vlaams Energieagentschap |OVO000090
DVR000002425|Studietoelage voor het hoger onderwijs|Agentschap voor Hoger Onderwijs, Volwassenenonderwijs, Kwalificaties en Studietoelagen|OVO001951
DVR000002426|Schooltoelage voor het basisonderwijs en het secundair onderwijs|Agentschap voor Hoger Onderwijs, Volwassenenonderwijs, Kwalificaties en Studietoelagen|OVO001951
DVR000002427|Verhoogde investeringsaftrek voor energiebesparende investeringen door bedrijven|Federale Overheidsdienst Financiën|OVO005190
DVR000002428|Vermindering van de onroerende voorheffing voor huurders|Vlaamse Belastingdienst|OVO000031
DVR000002429|Attest voor de erkenning van een Vlaams diploma of getuigschrift in het buitenland|Agentschap voor Hoger Onderwijs, Volwassenenonderwijs, Kwalificaties en Studietoelagen|OVO001951
DVR000002430|Premie van de netbeheerder voor een zonneboiler|Vlaams Energieagentschap |OVO000090
DVR000002431|Vermindering van de onroerende voorheffing voor een energiezuinig nieuw gebouw|Vlaamse Belastingdienst|OVO000031
DVR000002432|Leerkrediet voor studenten hoger onderwijs|Agentschap voor Hoger Onderwijs, Volwassenenonderwijs, Kwalificaties en Studietoelagen|OVO001951
DVR000002433|Diploma hoger onderwijs behalen via een diplomacontract|Agentschap voor Hoger Onderwijs, Volwassenenonderwijs, Kwalificaties en Studietoelagen|OVO001951
DVR000002434|Credits hoger onderwijs behalen via een creditcontract|Agentschap voor Hoger Onderwijs, Volwassenenonderwijs, Kwalificaties en Studietoelagen|OVO001951
DVR000002435|Diploma hoger onderwijs behalen via een examencontract|Agentschap voor Hoger Onderwijs, Volwassenenonderwijs, Kwalificaties en Studietoelagen|OVO001951
DVR000002436|Opgraving van een stoffelijk overschot of urne|Agentschap Binnenlands Bestuur|OVO001835
DVR000002437|Verplichte keuring van een nieuwe of gewijzigde cv-installatie|Departement Omgeving|OVO003323
DVR000002438|EPC bij verkoop of verhuur van een woning|Vlaams Energieagentschap |OVO000090
DVR000002439|Erkenning van scholen en andere onderwijsinstellingen|Nederlands-Vlaamse Accreditatieorganisatie|OVO003772
DVR000002440|Vlaamse Woonlening of de sociale lening bij de VMSW|Vlaamse Maatschappij voor Sociaal Wonen|OVO000103
DVR000002441|Bevolkingsonderzoek Borstkanker|Agentschap Zorg en Gezondheid|OVO000059
DVR000002442|Melden van gebreken aan wegen, fietspaden, wegverlichting, ... in Vlaanderen|Agentschap Wegen en Verkeer|OVO000098
DVR000002443|Doorlichtingsverslag van een school of een centrum voor leerlingenbegeleiding|Onderwijsinspectie|OVO002410
DVR000002447|Inkomensvervangende tegemoetkoming voor personen met een handicap|Federale Overheidsdienst Sociale Zekerheid|OVO008217
DVR000002448|Veranderen van familienaam|Federale Overheidsdienst Justitie|OVO003988
DVR000002449|Rustpensioen|Federale Pensioendienst|OVO024764
DVR000002450|Raming van uw toekomstige pensioenrechten|Federale Pensioendienst|OVO024764
DVR000002451|Voorlopig rijbewijs|Federale Overheidsdienst Mobiliteit en Vervoer|OVO004067
DVR000002452|Stemmen bij verkiezingen|Federale Overheidsdienst Binnenlandse Zaken|OVO008237
DVR000002453|Visum en verblijfsdocumenten om in België te verblijven|Federale Overheidsdienst Binnenlandse Zaken|OVO008237
DVR000002456|Elektronische vreemdelingenkaart|Federale Overheidsdienst Binnenlandse Zaken|OVO008237
DVR000002459|Identiteitsbewijs voor een niet-Belgisch kind|Federale Overheidsdienst Binnenlandse Zaken|OVO008237
DVR000002462|Buitenlandse overlijdensakte erkennen en overschrijven in België|Federale Overheidsdienst Buitenlandse Zaken, Buitenlandse Handel En Ontwikkelingssamenwerking|OVO024762
DVR000002463|Registratie poliovaccinatie|Federale Overheidsdienst Volksgezondheid, Veiligheid van de Voedselketen en Leefmilieu|OVO008238
DVR000002464|Reistoelating voor minderjarigen|Federale Overheidsdienst Buitenlandse Zaken, Buitenlandse Handel En Ontwikkelingssamenwerking|OVO024762
DVR000002466|Sociaal tarief voor elektriciteit en aardgas (sociale maximumprijzen)|Federale Overheidsdienst Economie, Middenstand, KMO en Energie|OVO004539
DVR000002467|Sociaal telefoontarief|Belgisch Instituut Voor Postdiensten En Telecommunicatie|OVO019809
DVR000002468|Omgevingsvergunning voor kleinhandelsactiviteiten|Agentschap Innoveren en Ondernemen|OVO000039
DVR000002469|Attest van de interventie van de brandweer|Federale Overheidsdienst Binnenlandse Zaken|OVO008237
DVR000002470|Toelating voor het organiseren van manifestaties ter bevordering van de plaatselijke handel/braderieën|Federale Overheidsdienst Economie, Middenstand, KMO en Energie|OVO004539
DVR000002473|Instapstage - VDAB|Vlaamse Dienst voor Arbeidsbemiddeling en Beroepsopleiding|OVO000078
DVR000002490|Laatste wilsbeschikking|Agentschap Binnenlands Bestuur|OVO001835
DVR000002491|Attest van hoofdverblijfplaats (bewijs van woonst)|Federale Overheidsdienst Binnenlandse Zaken|OVO008237
DVR000002492|Attest van leven|Federale Overheidsdienst Binnenlandse Zaken|OVO008237
DVR000002493|Attest van Belgische nationaliteit|Federale Overheidsdienst Binnenlandse Zaken|OVO008237
DVR000002494|Attest van gezinssamenstelling|Federale Overheidsdienst Binnenlandse Zaken|OVO008237
DVR000002495|Akte van overlijden|Federale Overheidsdienst Binnenlandse Zaken|OVO008237
DVR000002496|Akte van geboorte|Federale Overheidsdienst Binnenlandse Zaken|OVO008237
DVR000002497|Akte van huwelijk|Federale Overheidsdienst Binnenlandse Zaken|OVO008237
DVR000002498|Akte van echtscheiding|Federale Overheidsdienst Binnenlandse Zaken|OVO008237
DVR000002518|Inhaalpremie voor langdurige arbeidsongeschiktheid|Rijksinstituut voor Ziekte- en Invaliditeitsverzekering|OVO004200
DVR000002519|Tegemoetkoming voor hulp van derden bij arbeidsongeschiktheid|Rijksinstituut voor Ziekte- en Invaliditeitsverzekering|OVO004200
DVR000002520|Ziekte- en invaliditeitsuitkering|Rijksinstituut voor Ziekte- en Invaliditeitsverzekering|OVO004200
DVR000002521|Arbeidsongevallenverzekering|Federaal agentschap voor beroepsrisico’s|OVO027181
DVR000002522|Verlaagd btw-tarief voor personen met een handicap voor de aankoop van een wagen|Federale Overheidsdienst Financiën|OVO005190
DVR000002523|Basisbankdienst|Federale Overheidsdienst Economie, Middenstand, KMO en Energie|OVO004539
DVR000002524|Belastingkrediet voor kinderen ten laste|Federale Overheidsdienst Financiën|OVO005190
DVR000002525|Belastingvrije som bij opvang van een ouder familielid|Federale Overheidsdienst Financiën|OVO005190
DVR000002526|Belastingvermindering voor dakisolatie|Federale Overheidsdienst Financiën|OVO005190
DVR000002527|Bemiddeling|Federale Overheidsdienst Justitie|OVO003988
DVR000002528|Beroepsziekten|Federaal agentschap voor beroepsrisico’s|OVO027181
DVR000002529|Bijzonder Solidariteitsfonds voor uitzonderlijke gezondheidskosten|Rijksinstituut voor Ziekte- en Invaliditeitsverzekering|OVO004200
DVR000002530|Blindenstok|Federale Overheidsdienst Sociale Zekerheid|OVO008217
DVR000002531|Tegemoetkoming chronische wonden|Rijksinstituut voor ziekte- en invaliditeitsverzekering |OVO004200
DVR000002533|Equivalent leefloon|Programmatorische Federale Overheidsdienst Maatschappelijke Integratie|OVO027345
DVR000002534|Belastingvermindering voor de kosten voor kinderopvang|Federale Overheidsdienst Financiën|OVO005190
DVR000002535|Kraamgeld (geboortepremie)|Federaal Agentschap voor de kinderbijslag|OVO003903
DVR000002536|Globaal medisch dossier|Rijksinstituut voor ziekte- en invaliditeitsverzekering |OVO004200
DVR000002537|Incontinentieforfait|Rijksinstituut voor ziekte- en invaliditeitsverzekering |OVO004200
DVR000002538|Installatiepremie voor dak- en thuislozen|Programmatorische Federale Overheidsdienst Maatschappelijke Integratie|OVO027345
DVR000002539|Integratietegemoetkoming voor personen met een handicap|Federale Overheidsdienst Sociale Zekerheid|OVO008217
DVR000002540|Jobkorting federale overheid|Federale Overheidsdienst Financiën|OVO005190
DVR000002541|Juridische tweedelijnsbijstand (Pro-Deoadvocaat)|Federale Overheidsdienst Justitie|OVO003988
DVR000002542|Tegemoetkoming in de reiskosten van kankerpatiënten|Rijksinstituut voor ziekte- en invaliditeitsverzekering |OVO004200
DVR000002543|Kinderbijslag van 18 tot 25 jaar|Federaal Agentschap voor de kinderbijslag|OVO003903
DVR000002544|Gewaarborgd kraamgeld|Federaal Agentschap voor de kinderbijslag|OVO003903
DVR000002545|Gewaarborgde gezinsbijslag|Federaal Agentschap voor de kinderbijslag|OVO003903
DVR000002546|Leeftijdsbijslag bij de kinderbijslag|Federaal Agentschap voor de kinderbijslag|OVO003903
DVR000002547|Jaarlijkse bijslag bij het kindergeld (schoolpremie)|Federaal Agentschap voor de kinderbijslag|OVO003903
DVR000002548|Toeslag bij de kinderbijslag voor langdurig werklozen en gepensioneerden|Federaal Agentschap voor de kinderbijslag|OVO003903
DVR000002549|Wezenbijslag|Federaal Agentschap voor de kinderbijslag|OVO003903
DVR000002550|Verlengde kinderbijslag|Federaal Agentschap voor de kinderbijslag|OVO003903
DVR000002551|Vrijstelling voor studies in het kader van knelpuntberoepen|Rijksdienst voor Arbeidsvoorziening|OVO025169
DVR000002552|Inkomstenvrijstelling voor leefloners|Programmatorische Federale Overheidsdienst Maatschappelijke Integratie|OVO027345
DVR000002553|Lokaal Opvang Initiatief (LOI) voor asielzoekers|Programmatorische Federale Overheidsdienst Maatschappelijke Integratie|OVO027345
DVR000002554|Verlof voor medische bijstand|Rijksdienst voor Arbeidsvoorziening|OVO025169
DVR000002555|Maximumfactuur voor medische kosten|Rijksinstituut voor ziekte- en invaliditeitsverzekering |OVO004200
DVR000002556|Melden van discriminatie|Unia - Interfederaal Gelijkekansencentrum|OVO003858
DVR000002560|Voorschot op de alimentatievordering| Federale Overheidsdienst Financiën|OVO005190
DVR000002562|Palliatief forfait - Toelage voor thuisverzorging|Rijksinstituut voor ziekte- en invaliditeitsverzekering |OVO004200
DVR000002563|Palliatief verlof|Rijksdienst voor Arbeidsvoorziening|OVO025169
DVR000002564|Toeslag belastingvrije som bij personenbelasting|Federale Overheidsdienst Financiën|OVO005190
DVR000002565|Tegemoetkoming voor pijnstillers voor chronisch zieken|Rijksinstituut voor ziekte- en invaliditeitsverzekering |OVO004200
DVR000002567|Tussenkomst voor socio-culturele en sportieve participatie voor mensen in armoede|Programmatorische Federale Overheidsdienst Maatschappelijke Integratie|OVO027345
DVR000002568|Gratis tandverzorging tot 18 jaar|Rijksinstituut voor ziekte- en invaliditeitsverzekering |OVO004200
DVR000002569|Kortingskaart NMBS voor grote gezinnen|Nationale Maatschappij der Belgische Spoorwegen|OVO003863
DVR000002570|Kortingskaart NMBS 'Verhoogde tegemoetkoming'|Nationale Maatschappij der Belgische Spoorwegen|OVO003863
DVR000002571|Verminderingskaart NMBS voor personen met een visuele handicap|Federale Overheidsdienst Sociale Zekerheid|OVO008217
DVR000002572|Seniorenbiljet NMBS vanaf 65 jaar|Nationale Maatschappij der Belgische Spoorwegen|OVO003863
DVR000002573|Voorrangskaart NMBS voor een zitplaats op de trein|Nationale Maatschappij der Belgische Spoorwegen|OVO003863
DVR000002574|Verhoogde tegemoetkoming voor gezondheidszorgen|Rijksinstituut voor ziekte- en invaliditeitsverzekering |OVO004200
DVR000002575|Verwarmingstoelage via het Sociaal Verwarmingsfonds|Sociaal Verwarmingsfonds|OVO027368
DVR000002576|Vrijstelling van draagplicht van de veiligheidsgordel|Federale Overheidsdienst Mobiliteit en Vervoer|OVO004067
DVR000002577|Onkostenvergoeding voor vrijwilligerswerk|Vlaams Steunpunt Vrijwilligerswerk|OVO021371
DVR000002579|Zorgforfait voor chronisch zieken|Rijksinstituut voor ziekte- en invaliditeitsverzekering |OVO004200
DVR000002586|Dringend ziekenvervoer|Rijksinstituut voor ziekte- en invaliditeitsverzekering |OVO004200
DVR000002588|Gemeentelijke tussenkomst bij de aankoop van een Buzzy Pazz bij De Lijn|Vlaamse Vervoermaatschappij - De Lijn|OVO000100
DVR000002592|Europees rijbewijs|Federale Overheidsdienst Mobiliteit en Vervoer|OVO004067
DVR000002593|Aangifte van een adreswijziging bij uw stad of gemeente|Federale Overheidsdienst Binnenlandse Zaken|OVO008237
DVR000002594|Een stookolietank buiten gebruik stellen|Departement Omgeving|OVO003323
DVR000002595|Zorgwonen|Departement Omgeving|OVO003323
DVR000002596|Huur van een sociale woning bij het Vlaams Woningfonds|Vlaams Woningfonds|OVO001729
DVR000002598|Premies voor sociale isolatieprojecten voor huurwoningen|Vlaams Energieagentschap|OVO000090
DVR000002599|E-peilpremie voor energiezuinige nieuwbouw|Vlaams Energieagentschap|OVO000090
DVR000002600|Uittreksel uit het strafregister|Federale Overheidsdienst Justitie|OVO003988
DVR000002601|Combinatiepremie voor gelijktijdige investering in raamvervanging en muurisolatie|Vlaams Energieagentschap|OVO000090
DVR000002602|Machtiging tot het uitoefenen van ambulante activiteiten (leurkaart)|Agentschap Innoveren en Ondernemen|OVO000039
DVR000002609|Belgisch paspoort|Europese Unie|OVO027501
DVR000002610|Huurgarantiefonds voor verhuurders|Wonen-Vlaanderen|OVO000106
DVR000002616|Vlaamse Kredietbemiddelaar|Agentschap Innoveren en Ondernemen|OVO000039
DVR000002617|Premie voor buitensporige directe kost bij verplicht archeologisch onderzoek|Onroerend Erfgoed|OVO000104
DVR000002618|Beroepskaart voor vreemdelingen|Departement Werk en Sociale Economie|OVO000076
DVR000002619|Starteo, een voordelige lening voor startende zelfstandigen en kleine ondernemingen|ParticipatieMaatschappij Vlaanderen|OVO000044
DVR000002620|Business Angels+lening (BA+lening)|ParticipatieMaatschappij Vlaanderen|OVO000044
DVR000002621|Startlening+|ParticipatieMaatschappij Vlaanderen|OVO000044
DVR000002622|Optimeo, een voordelige lening voor zelfstandigen en kleine ondernemingen die hun zaak willen uitbreiden|ParticipatieMaatschappij Vlaanderen|OVO000044
DVR000002623|Getuigschrift van vakbekwaam slachten|Departement Omgeving|OVO003323
DVR000002624|Vergunning voor commercieel vervoer van dieren|Departement Omgeving|OVO003323
DVR000002625|Keuring vervoermiddel bij commercieel vervoer van dieren|Departement Omgeving|OVO003323
DVR000002626|Getuigschrift van vakbekwaamheid bij commercieel vervoer van dieren|Departement Omgeving|OVO003323
DVR000002627|Erkenning als dierentuin|Departement Omgeving|OVO003323
DVR000002628|Erkenning als hondenkwekerij, kattenkwekerij, dierenasiel, dierenpension of handelszaak voor dieren|Departement Omgeving|OVO003323
DVR000002629|Erkenning als proefdierlabo of als fokker van proefdieren|Departement Omgeving|OVO003323
DVR000002630|Melden van verwaarloosde of mishandelde dieren|Departement Omgeving|OVO003323
DVR000002631|Hondenpaspoort en registratiebewijs voor een hond|Departement Omgeving|OVO003323
DVR000002633|Advies over brandpreventie in uw woning|Federale Overheidsdienst Binnenlandse Zaken|OVO008237
DVR000002663|Stage- en leerwerkplaatsen bij de Vlaamse overheid|Agentschap Overheidspersoneel|OVO001833
DVR000002664|Een diploma secundair onderwijs behalen|Departement Onderwijs en Vorming|OVO000049
DVR000002665|Een getuigschrift basisonderwijs behalen|Departement Onderwijs en Vorming|OVO000049
DVR000002666|Energielening|Vlaamse Energieagentschap|OVO000090
DVR000002667|Belastingvermindering voor de enige en eigen woning (woonbonus)|Departement Financiën en Begroting|OVO000029
DVR000002668|Vergunning beenhouwer-spekslager|Agentschap Innoveren en Ondernemen|OVO000039
DVR000002669|Machtiging tot het uitoefenen van kermisactiviteiten|Agentschap Innoveren en Ondernemen|OVO000039
DVR000002670|Gratis IE-scan|Agentschap Innoveren en Ondernemen|OVO000039
DVR000002671|Advies voor ondernemers over aangewezen financieringsmix - Finmix|Agentschap Innoveren en Ondernemen|OVO000039
DVR000002672|Trajectbegeleiding innovatieve start-ups en scale-ups|Agentschap Innoveren en Ondernemen|OVO000039
DVR000002673|Ongeschikt of onbewoonbaar verklaren van een woning|Wonen-Vlaanderen|OVO000106
DVR000002675|Werkloosheidsuitkering|Rijksdienst voor Arbeidsvoorziening|OVO025169
DVR000002676|Toeslag bij de kinderbijslag voor eenoudergezinnen|Federaal Agentschap voor de kinderbijslag|OVO003903
DVR000002677|Toeslag op de kinderbijslag voor kinderen met een handicap|Federaal Agentschap voor de kinderbijslag|OVO003903
DVR000002678|Inschakelingsuitkering voor werkzoekende schoolverlaters|Rijksdienst voor Arbeidsvoorziening|OVO025169
DVR000002679|Stemmen met een volmacht|Federale Overheidsdienst Binnenlandse Zaken|OVO008237
DVR000002680|Ouderschapsverlof|Rijksdienst voor Arbeidsvoorziening|OVO025169
DVR000002681|Auteursrecht|Federale Overheidsdienst Economie, Middenstand, KMO en Energie|OVO004539
DVR000002682|Examens ondernemersvaardigheden bij de Centrale Examencommissie|Agentschap Innoveren en Ondernemen|OVO000039
DVR000002683|Octrooi of patent|Federale Overheidsdienst Economie, Middenstand, KMO en Energie|OVO004539
DVR000002684|Vermindering erfbelasting bij overdracht van familiale ondernemingen en vennootschappen|Vlaamse Belastingdienst|OVO000031
DVR000002685|Erasmus voor jonge ondernemers|Europese Commissie|OVO004097
DVR000002686|Vrijstelling van schenkbelasting voor de overdracht van familiale ondernemingen en vennootschappen|Vlaamse Belastingdienst|OVO000031
DVR000002687|Vrijstelling van erfbelasting voor de wettelijke terugkeer van schenkingen|Vlaamse Belastingdienst|OVO000031
DVR000002688|Stedenbouwkundig uittreksel|Departement Omgeving|OVO003323
DVR000002689|Bijstand van een tolk voor dove of slechthorende werknemers, zelfstandigen en werkzoekenden met een arbeidshandicap|Vlaamse Dienst voor Arbeidsbemiddeling en Beroepsopleiding|OVO000078
DVR000002690|Tegemoetkoming voor arbeidsgereedschap, -kleding en arbeidspostaanpassingen|Vlaamse Dienst voor Arbeidsbemiddeling en Beroepsopleiding|OVO000078
DVR000002692|Cambio-voordeel bij jaarbonnement van De Lijn|Cambio|OVO027423
DVR000002693|Melden van gezondheidsproblemen bij honden na aankoop|Departement Omgeving|OVO003323
DVR000002694|Vrijstelling van de belasting op inverkeerstelling (BIV) en de verkeersbelasting (VKB) voor personen met een handicap|Vlaamse Belastingdienst|OVO000031
DVR000002695|Erkenning voor het houden van een zoogdier dat niet op de positieve lijst staat|Departement Omgeving|OVO003323
DVR000002696|Vrijstelling van bepaalde werkloosheidsverplichtingen bij volgen van opleiding die voorbereidt op zelfstandig beroep|Rijksdienst voor Arbeidsvoorziening|OVO025169
DVR000002697|Vergunning voor een collecte|Federale Overheidsdienst Binnenlandse Zaken|OVO008237
DVR000002698|Toelating tot crematie|Agentschap Binnenlands Bestuur|OVO001835
DVR000002699|Kinderopvangtoeslag voor alleenstaande werkzoekenden die weer aan de slag gaan|Rijksdienst voor Arbeidsvoorziening|OVO025169
DVR000002700|Kmo-cofinanciering|ParticipatieMaatschappij Vlaanderen|OVO000044
DVR000002701|Ecocheques|Federale Overheidsdienst Werkgelegenheid, Arbeid en Sociaal Overleg|OVO004018
DVR000002702|Taxshelter voor startende ondernemingen|Federale Overheidsdienst Financiën|OVO005190
DVR000002703|Krediet voor onderzoekers voor een lang verblijf in het buitenland| Fonds Wetenschappelijk Onderzoek Vlaanderen|OVO000042
DVR000002704|Krediet voor onderzoekers voor deelname aan een workshop of een cursus in het buitenland| Fonds Wetenschappelijk Onderzoek Vlaanderen|OVO000042
DVR000002705|Krediet voor een kort verblijf in het buitenland| Fonds Wetenschappelijk Onderzoek Vlaanderen|OVO000042
DVR000002706|Krediet voor deelname van onderzoekers aan congres in buitenland| Fonds Wetenschappelijk Onderzoek Vlaanderen|OVO000042
DVR000002707|Verplichte energieaudit voor grote ondernemingen|Vlaams Energieagentschap|OVO000090
DVR000002708|Erkenning als toeristisch centrum|Federale Overheidsdienst Werkgelegenheid, Arbeid en Sociaal Overleg|OVO004018
DVR000002709|Startbonus|Departement Werk en Sociale Economie|OVO000076
DVR000002710|Federale uitkering voor tijdskrediet|Rijksdienst voor Arbeidsvoorziening|OVO025169
DVR000002711|Federale uitkering voor ouderschapsverlof, verlof voor medische bijstand of palliatief verlof|Rijksdienst voor Arbeidsvoorziening|OVO025169
DVR000002712|Innovatiepremie voor creatieve werknemers|Federale Overheidsdienst Economie, Middenstand, KMO en Energie|OVO004539
DVR000002713|Korting op treinticket voor werkzoekenden die op sollicitatiegesprek gaan|Vlaamse Dienst voor Arbeidsbemiddeling en Beroepsopleiding|OVO000078
DVR000002714|Melding van tijdelijke afwezigheid|Federale Overheidsdienst Binnenlandse Zaken|OVO008237
DVR000002716|Vaste standplaats op de wekelijkse markt|Federale Overheidsdienst Economie, Middenstand, KMO en Energie|OVO004539
DVR000002717|Niet-productieve investeringssteun land- en tuinbouwers|Departement Landbouw en Visserij|OVO000082
DVR000002718|Vergoedingen van netbeheerders bij laattijdige (her)aansluiting en stroomonderbreking|Vlaamse Regulator van de Elektriciteits- en Gasmarkt|OVO000093
DVR000002719|Premie voor een nieuw zero-emissie-voertuig|Vlaams Energieagentschap|OVO000090
DVR000002720|Vestigingsvergunning voor een nachtwinkel|Federale Overheidsdienst Economie, Middenstand, KMO en Energie|OVO004539
DVR000002721|Aangifte afwijking op de wekelijkse rustdag|Federale Overheidsdienst Economie, Middenstand, KMO en Energie|OVO004539
DVR000002726|Sociaal tarief voor water|Vlaamse Milieumaatschappij|OVO000092
DVR000002732|Gedeeld verblijf|Federale Overheidsdienst Binnenlandse Zaken|OVO008237
DVR000002733|Premie voor de installateur die een roetfilter plaatst|Departement Omgeving|OVO003323
DVR000002734|Aanvraag van de vrijstelling van de kilometerheffing in Vlaanderen|Vlaamse Belastingdienst|OVO000031
DVR000002735|Kilometerheffing voor vrachtwagens|Interregionale entiteit VIAPASS|OVO002333
DVR000002736|Premie van de netbeheerder voor na-isolatie van een buitenmuur langs de binnenzijde|Vlaams Energieagentschap|OVO000090
DVR000002746|Omgevingsvergunning|Departement Omgeving|OVO003323
DVR000002747|Vrijstelling van doorstorting van bedrijfsvoorheffing bij investering in steunzones|Federale Overheidsdienst Financiën |OVO005190
DVR000002748|Machtiging voor standplaats op kermis| Agentschap Innoveren en Ondernemen|OVO000039
DVR000002749|Eretitel voor uitvoerende mandatarissen en raadsleden|Agentschap Binnenlands Bestuur|OVO001835
DVR000002750|Ereteken voor lokale en provinciale mandatarissen en personeel|Agentschap Binnenlands Bestuur|OVO001835
DVR000002751|Subsidie teelt van vezelvlas met verminderde bemesting|Departement Landbouw en Visserij|OVO000082
DVR000002752|Subsidie teelt van vezelhennep met verminderde bemesting|Departement Landbouw en Visserij|OVO000082
DVR000002753|Tegemoetkoming in de kosten woon-werkverkeer voor personen met een handicap|Vlaamse Dienst voor Arbeidsbemiddeling en Beroepsopleiding|OVO000078
DVR000002754|Verplaatsingsvergoeding voor werkzoekenden die een erkende opleiding volgen|Vlaamse Dienst voor Arbeidsbemiddeling en Beroepsopleiding|OVO000078
DVR000002755|Verblijfsvergoeding bij opleiding VDAB|Agentschap Binnenlands Bestuur|OVO001835
DVR000002756|Vermindering van de onroerende voorheffing voor ingrijpende energetische renovatie|Vlaamse Belastingdienst|OVO000031
DVR000002758|Burenpremie voor collectieve renovatieprojecten|Vlaams Energieagentschap|OVO000090
DVR000002759|Totaalrenovatiebonus van de netbeheerder (BENO-pass)|Vlaams Energieagentschap|OVO000090
DVR000002760|Bevolkingsonderzoek dikkedarmkanker|Agentschap Zorg en Gezondheid|OVO000059
DVR000002761|Bevolkingsonderzoek baarmoederhalskanker|Agentschap Zorg en Gezondheid|OVO000059
DVR000002762|Professionele erkenning van een buitenlands lerarendiploma in Vlaanderen|Agentschap voor Onderwijsdiensten|OVO000050
DVR000002763|Instaptoets lerarenopleiding|Vlaamse Hogescholenraad|OVO000158
