Id|ExportNaarOrafin|NaamAflopend sorteren|ipdc-ID-link|Alternatieve naam ipdc (=titel)
DVR000001353|True|Enveloppe Decreet Jeugdverblijfcentra Jeugdverblijfcentra, Hostels, ondersteuningsstructuren en de vzw ADJ Subsidiëring van ADJ, CJT en VJH|704|Subsidies voor een jeugdverblijfcentrum en hostel
DVR000001360|True|Erkenning Cultureel-erfgoeddecreet (nieuw CED) Kwaliteitslabel|234|Kwaliteitslabel voor collectiebeherende cultureel-erfgoedinstellingen
DVR000001361|True|Erkenning cultuureducatieve verenigingen|635|Erkenning en subsidiëring van cultuureducatieve verenigingen
DVR000001362|True|Erkenning Landelijk georganiseerde jeugdverenigingen|634|Erkenning en subsidiëring van een landelijk georganiseerde jeugdvereniging
DVR000001364|True|Erkenning verenigingen informatie en participatie|636|Erkenning en subsidiëring van verenigingen die werken rond  informatie en participatie
DVR000001413|True|Nieuwe disciplines (Amateurkunsten)|611|Erkenning en subsidiëring van amateurkunsten
DVR000001421|True|Personeelssubsidie Decreet Jeugdverblijfcentra Jeugdverblijfcentra, Hostels, ondersteuningsstructuren en de vzw ADJ Centra met personeel -en werkingsubsidie|704|Subsidies voor een jeugdverblijfcentrum en hostel
DVR000001431|True|Projectsubsidie Circusdecreet Creatie van circuskunstproducties|610|Subsidie voor circuskunsten
DVR000001432|True|Projectsubsidie Circusdecreet Ondersteuning en promotie circuskunsten Promotie van circuskunsten|610|Subsidie voor circuskunsten
DVR000001433|True|Projectsubsidie Circusdecreet Spreiding van circuskunstproducties Eénjarige festivals|610|Subsidie voor circuskunsten
DVR000001434|True|Projectsubsidie Circusdecreet Spreiding van circuskunstproducties Internationale spreiding van Vlaamse circusproductie|610|Subsidie voor circuskunsten
DVR000001435|True|Projectsubsidie Circusdecreet Spreiding van circuskunstproducties Meerjarige festivals|610|Subsidie voor circuskunsten
DVR000001436|True|Projectsubsidie Circusdecreet Spreiding van circuskunstproducties Nomadische tournees in Vlaanderen|610|Subsidie voor circuskunsten
DVR000001445|True|Projectsubsidie Participatiedecreet Projecten ter bevordering van de participatie van kansengroepen in cultuur, jeugdwerk of sport|614|Subsidie voor participatieprojecten kansengroepen
DVR000001448|True|Projectsubsidie voor internationale cultureel erfgoedprojecten|258|Subsidies voor projecten in de cultureel-erfgoedsector
DVR000001449|True|Projectsubsidie voor ontwikkelingsgerichte cultureel erfgoedprojecten|258|Subsidies voor projecten in de cultureel-erfgoedsector
DVR000001462|True|Subsidiëring cultuureducatieve verenigingen|635|Erkenning en subsidiëring van cultuureducatieve verenigingen
DVR000001464|True|Subsidiëring Landelijk georganiseerde jeugdverenigingen|634|Erkenning en subsidiëring van een landelijk georganiseerde jeugdvereniging
DVR000001465|True|Subsidiëring verenigingen informatie en participatieJeugd|636|Erkenning en subsidiëring van verenigingen die werken rond  informatie en participatie
DVR000001497|True|Vrijetijdspas|40|Vrijetijdspas
DVR000001502|True|Werkingssubsidie Circusdecreet Ondersteuning en promotie circuskunsten Ondersteuning circuscentrum|610|Subsidie voor circuskunsten
DVR000001508|True|Werkingssubsidie en Personeelssubsidie Decreet Jeugdverblijfcentra Jeugdverblijfcentra en Hostels|704|Subsidies voor een jeugdverblijfcentrum en hostel
DVR000001517|True|Werkingssubsidie Participatiedecreet Hobbyverenigingen|616|Subsidie voor hobbyverenigingen
DVR000001518|True|Werkingssubsidie Participatiedecreet Laagdrempelige educatie voor kansengroepen|615|Subsidie voor laagdrempelige educatie voor kansengroepen
DVR000001614|True|GK - Projectsubsidie Gelijke kansen|526|Subsidie voor projecten van Gelijke Kansen
DVR000001622|True|Brussel - Subsidie Projecten voor Brussel (Subsidiegids)|368|Subsidie voor projecten in Brussel
DVR000001626|True|Vlaamse Rand - Facultatieve subsidie faciliteitengemeenten|515|Subsidie voor projecten in de faciliteitengemeenten in de Vlaamse Rand
DVR000001627|True|Vlaamse Rand - Impulsprojectsubsidie|1391|Impulssubsidie voor projecten in de Vlaamse Rand
DVR000001656|True|Subsidies leegstaande bedrijfsruimten (verwerving en sanering - variabel krediet)|531|Premie voor bestrijding van leegstand en verwaarlozing van bedrijfsruimten voor nieuwe eigenaars
DVR000001683|True|Subsidie kinderopvang - subsidie voor inkomenstarief gezinsopvang|1130|Kinderopvang met inkomenstarief
DVR000001684|True|Subsidie kinderopvang - subsidie voor inkomenstarief groepsopvang|1130|Kinderopvang met inkomenstarief
DVR000001717|True|Adoptiepremie|806|Adoptiepremie
DVR000001744|True|Zorgbudget voor zwaar zorgbehoevenden|365|Zorgbudget voor zwaar zorgbehoevenden van de Vlaamse sociale bescherming
DVR000001745|True|Zorgbudget voor ouderen met zorgnood|131|Zorgbudget voor ouderen met een zorgnood (vroeger tegemoetkoming voor hulp aan bejaarden genoemd)
DVR000001750|True|Reglementaire subsidies samenwerkingsinitiatieven eerstelijnsgezondheidszorg (SEL)|467|Erkenning en subsidiëring van de samenwerkingsinitiatieven eerstelijnsgezondheidszorg (SEL)
DVR000001793|True|Erkenning psychiatrische verzorgingstehuizen|440|Erkenning van de psychiatrische verzorgingstehuizen
DVR000001794|True|Erkenning en subsidiëring diensten voor thuisverpleging|412|Erkenning en subsidiëring van de diensten voor thuisverpleging
DVR000001803|True|Dienstencheques|130|Vlaamse dienstencheques
DVR000001808|True|VOP|220|Vlaamse ondersteuningspremie (VOP) voor werkgevers
DVR000001809|True|Aanwervingsincentive|1436|Aanwervingsincentive voor langdurig werkzoekenden
DVR000001810|True|Transitiepremie|1486|Transitiepremie
DVR000001817|True|ESF- subsidies|336|Subsidies voor sociale tewerkstellingsprojecten
DVR000001818|True|Aanmoedigingspremies|699|Aanmoedigingspremie voor tijdskrediet
DVR000001819|True|Vlaams zorgkrediet|1421|Vlaams zorgkrediet voor de openbare sector
DVR000001820|True|Ervaringsfonds|1229|Ervaringsfonds voor werkgevers
DVR000001821|False|Arbeidskaarten|582|Arbeidskaart
DVR000001822|False|Beroepskaarten|961|Beroepskaart voor vreemdelingen
DVR000001828|True|Betaald educatief verlof|1344|Betaald educatief verlof voor werknemers in de privésector
DVR000001830|False|Ervaringsbewijs|332|Ervaringsbewijs
DVR000001832|False|Opleidingscheques|199|Opleidingscheques voor werknemers
DVR000001834|True|Beschutte werkplaatsen|343|Erkenning en ondersteuning van een beschutte werkplaats
DVR000001836|True|Sociale werkplaatsen|341|Erkenning en ondersteuning van een sociale werkplaats
DVR000001840|True|Arbeidszorg|345|Subsidies voor de omkadering van arbeidszorgmedewerkers
DVR000001841|False|SINE|1469|Sociale inschakelingseconomie (SINE)
DVR000001842|True|Invoegbedrijven|339|Erkenning en ondersteuning van een invoegbedrijf
DVR000001855|False|Werkhervattingstoeslag (uitdovend)|889|Werkhervattingstoeslag voor werkzoekenden van 55 jaar of meer
DVR000001857|False|Loopbaanonderbreking (uitdovend)|1365|Federale uitkering voor gewone loopbaanonderbreking
DVR000001885|True|Subsidies in kader van het decreet mobiliteitsbeleid – Projectsubsidies|294|Subsidie voor een mobiliteitsproject van een vereniging
DVR000001889|True|Leertijd|563|Leertijd
DVR000001890|True|Ondernemerschapstrajecten|334|Praktijkgerichte ondernemerschapstrajecten (Syntra Vlaanderen)
DVR000002017|False|Kaphout afvoeren|1|Kaphout afvoeren
DVR000002018|False|Financiële tegemoetkoming in de begrafeniskosten voor oud-strijders|2|Financiële tegemoetkoming in de begrafeniskosten voor oud-strijders
DVR000002019|False|Eensluidend verklaarde kopie|3|Eensluidend verklaarde kopie
DVR000002020|False|Ophalen van glas via de glascontainer|4|Ophalen van glas via de glascontainer
DVR000002021|False|Huisvuilstickers|5|Huisvuilstickers
DVR000002022|False|Hulp nodig bij vervullen administratieve taken|7|Hulp nodig bij vervullen administratieve taken
DVR000002023|False|Gemeentelijke premie voor inbraakpreventie|9|Gemeentelijke premie voor inbraakpreventie
DVR000002024|False|Inleveren bouwafval en bouwresten|10|Inleveren bouwafval en bouwresten
DVR000002025|False|Onthaal nieuwe inwoners|13|Onthaal nieuwe inwoners
DVR000002026|False|Ophalen kerstboom|14|Ophalen kerstboom
DVR000002027|False|Huis-aan-huisinzameling van glas|15|Huis-aan-huisinzameling van glas
DVR000002028|False|Huis-aan-huisinzameling van grofvuil|16|Huis-aan-huisinzameling van grofvuil
DVR000002029|False|Huis-aan-huisinzameling van klein gevaarlijk afval|17|Huis-aan-huisinzameling van klein gevaarlijk afval
DVR000002030|False|Huis-aan-huisinzameling van papier en karton|18|Huis-aan-huisinzameling van papier en karton
DVR000002031|False|Huis-aan-huisinzameling van plastic-, metaal- en drankverpakkingen (PMD)|19|Huis-aan-huisinzameling van plastic-, metaal- en drankverpakkingen (PMD)
DVR000002032|False|Huis-aan-huisinzameling van restafval|20|Huis-aan-huisinzameling van restafval
DVR000002033|False|Huis-aan-huisinzameling van snoeihout|21|Huis-aan-huisinzameling van snoeihout
DVR000002034|False|Peterschap van een grafmonument|22|Peterschap van een grafmonument
DVR000002035|False|Sorteerpasje|23|Sorteerpasje
DVR000002036|False|Afhalen weggehaalde fiets/bromfiets|24|Afhalen weggehaalde fiets/bromfiets
DVR000002037|False|Afhalen gevonden voorwerpen|25|Afhalen gevonden voorwerpen
DVR000002038|False|Toelating voor het aanleggen van een geveltuin|26|Toelating voor het aanleggen van een geveltuin
DVR000002039|False|Toelating om bij een evenement af te wijken van het geluidsniveau|27|Toelating om bij een evenement af te wijken van het geluidsniveau
DVR000002040|False|Verkoop gevonden fietsen en bromfietsen|28|Verkoop gevonden fietsen en bromfietsen
DVR000002041|False|Premie voor het aanleggen van een geveltuin|30|Premie voor het aanleggen van een geveltuin
DVR000002042|False|Premie voor het aanleggen van een groendak|31|Premie voor het aanleggen van een groendak
DVR000002043|False|Premie voor een huwelijksjubileum|32|Premie voor een huwelijksjubileum
DVR000002044|False|Bruikleen of hergebruik van een grafmonument|33|Bruikleen of hergebruik van een grafmonument
DVR000002045|False|Speelpleinwerking|34|Speelpleinwerking
DVR000002046|False|Cultuurcheque|35|Cultuurcheque
DVR000002047|False|Taxicheques|36|Taxicheques
DVR000002048|False|Dringende steun in noodsituaties|37|Dringende steun in noodsituaties
DVR000002049|False|Zorgtariefpas|39|Zorgtariefpas
DVR000002050|False|Tussenkomst eerste maand huishuur|41|Tussenkomst eerste maand huishuur
DVR000002051|False|Financiële tussenkomst voor de aanpassing van de woning van ouderen en personen met een handicap|42|Financiële tussenkomst voor de aanpassing van de woning van ouderen en personen met een handicap
DVR000002052|False|Arbeidstrajectbegeleiding|43|Arbeidstrajectbegeleiding
DVR000002053|False|Atelierwerking|44|Atelierwerking
DVR000002054|False|Openbare computerruimten|45|Openbare computerruimten
DVR000002055|False|Gebruiken van computerklassen|46|Gebruiken van computerklassen
DVR000002056|False|Gebruik van een fuifruimte|47|Gebruik van een fuifruimte
DVR000002057|False|Schoollokalen huren buiten de schooluren|48|Schoollokalen huren buiten de schooluren
DVR000002058|False|Infrastructuur en materiaal gebruiken voor sociaal-culturele activiteiten|49|Infrastructuur en materiaal gebruiken voor sociaal-culturele activiteiten
DVR000002059|False|Jeugdcentrum gebruiken voor jongerenactiviteiten|50|Jeugdcentrum gebruiken voor jongerenactiviteiten
DVR000002060|False|Kookinfrastructuur gebruiken|51|Kookinfrastructuur gebruiken
DVR000002061|False|Uitlenen van evenementenmateriaal|52|Uitlenen van evenementenmateriaal
DVR000002062|False|Gebruiken van een polyvalente ruimte|53|Gebruiken van een polyvalente ruimte
DVR000002063|False|Gebruiken van een repetitieruimte|54|Gebruiken van een repetitieruimte
DVR000002064|False|Gebruiken van een speelterrein|55|Gebruiken van een speelterrein
DVR000002065|False|Gebruik van sportinfrastructuur|56|Gebruik van sportinfrastructuur
DVR000002066|False|Gebruiken van studieruimten|57|Gebruiken van studieruimten
DVR000002067|False|Gebruiken van een theaterinfrastructuur|58|Gebruiken van een theaterinfrastructuur
DVR000002068|False|Bibliotheekvoorzieningen voor personen met een beperking|59|Bibliotheekvoorzieningen voor personen met een beperking
DVR000002069|False|Boekenuitleendienst aan huis|60|Boekenuitleendienst aan huis
DVR000002070|False|Boodschappendienst|61|Boodschappendienst
DVR000002071|False|Budgetbegeleiding|62|Budgetbegeleiding
DVR000002072|False|Budgetbeheer|63|Budgetbeheer
DVR000002073|False|Buitenschoolse kinderopvang|64|Buitenschoolse kinderopvang
DVR000002074|False|Crisisopvang|65|Crisisopvang
DVR000002075|False|Cultuurkorting voor studenten|66|Cultuurkorting voor studenten
DVR000002076|False|Dienst aangepast vervoer voor minder mobiele personen|67|Dienst aangepast vervoer voor minder mobiele personen
DVR000002077|False|Doorgangswoning, transitwoning of noodwoning|68|Doorgangswoning, transitwoning of noodwoning
DVR000002078|False|Financiële tussenkomst bij het betalen van uw energiefacturen|69|Financiële tussenkomst bij het betalen van uw energiefacturen
DVR000002079|False|Financiële tussenkomst bij hospitalisatiekosten|70|Financiële tussenkomst bij hospitalisatiekosten
DVR000002080|False|Financiële tussenkomst voor deelname van kinderen en jongeren aan het georganiseerde vrijetijdsaanbod|71|Financiële tussenkomst voor deelname van kinderen en jongeren aan het georganiseerde vrijetijdsaanbod
DVR000002081|False|Aanvragen van een gidsbeurt|72|Aanvragen van een gidsbeurt
DVR000002082|False|Grabbelpas|73|Grabbelpas
DVR000002083|False|Gratis bonnen voor tweedehandsaankopen|74|Gratis bonnen voor tweedehandsaankopen
DVR000002084|False|Gratis vuilniszakken|75|Gratis vuilniszakken
DVR000002085|False|Huistaakbegeleiding|76|Huistaakbegeleiding
DVR000002086|False|Gemeentelijke financiële tussenkomst in de huurkosten|77|Gemeentelijke financiële tussenkomst in de huurkosten
DVR000002087|False|Financiële tussenkomst in de huurwaarborg|78|Financiële tussenkomst in de huurwaarborg
DVR000002088|False|Financiële tegemoetkoming voor jeugdactiviteiten|79|Financiële tegemoetkoming voor jeugdactiviteiten
DVR000002089|False|Kopie van een archiefdocument|80|Kopie van een archiefdocument
DVR000002090|False|Cultuurkaart|81|Cultuurkaart
DVR000002091|False|Mantelzorgpremie|83|Mantelzorgpremie
DVR000002092|False|Financiële tussenkomst in mutualiteitsbijdragen|84|Financiële tussenkomst in mutualiteitsbijdragen
DVR000002093|False|Nieuwjaarsgeschenk voor chronisch zieken of personen met een handicap|86|Nieuwjaarsgeschenk voor chronisch zieken of personen met een handicap
DVR000002094|False|Ter beschikking stellen van een palliatieve kamer|87|Ter beschikking stellen van een palliatieve kamer
DVR000002095|False|Aanvragen van een parkeerplaats voor personen met een handicap|88|Aanvragen van een parkeerplaats voor personen met een handicap
DVR000002096|False|Gemeentelijke premie voor het opstarten van een kinderdagverblijf|89|Gemeentelijke premie voor het opstarten van een kinderdagverblijf
DVR000002097|False|Projectsubsidie cultuur|90|Projectsubsidie cultuur
DVR000002098|False|Psychosociale hulp|91|Psychosociale hulp
DVR000002099|False|Archiefdocumenten raadplegen|92|Archiefdocumenten raadplegen
DVR000002100|False|Borgstelling voor een woonzorgcentrum|93|Borgstelling voor een woonzorgcentrum
DVR000002101|False|Financiële tussenkomst in de schoolkosten|94|Financiële tussenkomst in de schoolkosten
DVR000002102|False|Schuldbemiddeling|95|Schuldbemiddeling
DVR000002103|False|Vermindering op de huisvuilbelasting|96|Vermindering op de huisvuilbelasting
DVR000002104|False|Sportkorting voor studenten|97|Sportkorting voor studenten
DVR000002105|False|Strijkatelier of strijkwinkel|98|Strijkatelier of strijkwinkel
DVR000002106|False|Subsidie voor het aankopen van groot materiaal voor jeugdwerk|99|Subsidie voor het aankopen van groot materiaal voor jeugdwerk
DVR000002107|False|Subsidie voor het bevorderen van diversiteit in sport, cultuur en jeugd|100|Subsidie voor het bevorderen van diversiteit in sport, cultuur en jeugd
DVR000002108|False|Gemeentelijke subsidie voor erfgoedverenigingen|101|Gemeentelijke subsidie voor erfgoedverenigingen
DVR000002109|False|Gemeentelijke subsidie voor investeringen in infrastructuur in het jeugdwerk|102|Gemeentelijke subsidie voor investeringen in infrastructuur in het jeugdwerk
DVR000002110|False|Subsidie ouderbetrokkenheid bij school|104|Subsidie ouderbetrokkenheid bij school
DVR000002111|False|Subsidie voor het organiseren van sportevenementen|105|Subsidie voor het organiseren van sportevenementen
DVR000002112|False|Thuisopvang voor zieke kinderen|106|Thuisopvang voor zieke kinderen
DVR000002113|False|Tussenkomst voor haarverzorging|107|Tussenkomst voor haarverzorging
DVR000002114|False|Thuiszorg - Huishoudelijke hulp|108|Thuiszorg - Huishoudelijke hulp
DVR000002115|False|Maaltijdbedeling aan huis|109|Maaltijdbedeling aan huis
DVR000002116|False|Thuiszorg - Oppasdienst|110|Thuiszorg - Oppasdienst
DVR000002117|False|Persoonsverzorging|111|Persoonsverzorging
DVR000002118|False|Voetverzorging|112|Voetverzorging
DVR000002119|False|Toelage voor instellingen voor personen met een handicap|113|Toelage voor instellingen voor personen met een handicap
DVR000002120|False|Gemeentelijke premie voor de opvang van personen met een handicap|114|Gemeentelijke premie voor de opvang van personen met een handicap
DVR000002121|False|Tussenkomst in farmaceutische en (para-) medische kosten|115|Tussenkomst in farmaceutische en (para-) medische kosten
DVR000002122|False|Tussenkomst in de taxikosten|116|Tussenkomst in de taxikosten
DVR000002123|False|Tweedehandskledij|117|Tweedehandskledij
DVR000002124|False|Ontlenen van boeken, cd's, dvd's en ander bibliotheekmateriaal|118|Ontlenen van boeken, cd's, dvd's en ander bibliotheekmateriaal
DVR000002125|False|Ontlenen van materiaal voor jeugdactiviteiten en jeugdwerk|119|Ontlenen van materiaal voor jeugdactiviteiten en jeugdwerk
DVR000002126|False|Financiële tussenkomst voor een verblijf in een woonzorgcentrum|120|Financiële tussenkomst  voor een verblijf in een woonzorgcentrum
DVR000002127|False|Vervoer minder mobiele personen|121|Vervoer minder mobiele personen
DVR000002128|False|Voedselpakketten|122|Voedselpakketten
DVR000002129|False|Gemeentelijke premie voorhuwelijkssparen|123|Gemeentelijke premie voorhuwelijkssparen
DVR000002130|False|Voorschotten op sociale uitkeringen|124|Voorschotten op sociale uitkeringen
DVR000002131|False|Financiële tussenkomst voor waterverbruik|125|Financiële tussenkomst voor waterverbruik
DVR000002132|False|Erkenning als verdeler van officiële afvalzakken|127|Erkenning als verdeler van officiële afvalzakken
DVR000002133|False|Leefloon|134|Leefloon
DVR000002134|False|Noodoproepen|135|Noodoproepen
DVR000002135|False|Overlevingspensioen|136|Overlevingspensioen
DVR000002136|False|Huwelijk|139|Huwelijk
DVR000002137|False|Wettelijk samenwonen|144|Wettelijk samenwonen
DVR000002138|False|Buitenlandse huwelijksakte erkennen en overschrijven|145|Buitenlandse huwelijksakte erkennen en overschrijven
DVR000002139|False|Collectieve schuldenregeling|146|Collectieve schuldenregeling
DVR000002140|False|Kids-ID: Elektronisch identiteitsdocument voor kinderen onder de 12 jaar|147|Kids-ID: Elektronisch identiteitsdocument voor kinderen onder de 12 jaar
DVR000002141|False|Elektronische identiteitskaart (eID)|148|Elektronische identiteitskaart (eID)
DVR000002142|False|Nietig verklaren van een huwelijk|149|Nietig verklaren van een huwelijk
DVR000002143|False|Internationaal rijbewijs|152|Internationaal rijbewijs
DVR000002144|False|Federaal token|155|Federaal token
DVR000002145|False|Een kind erkennen|156|Een kind erkennen
DVR000002146|False|Geboorteaangifte|157|Geboorteaangifte
DVR000002147|False|Orgaandonatie|158|Orgaandonatie
DVR000002148|False|Overlijdensaangifte|159|Overlijdensaangifte
DVR000002149|False|Parkeerkaart voor personen met een handicap|160|Parkeerkaart voor personen met een handicap
DVR000002150|False|Wilsverklaring inzake euthanasie|163|Wilsverklaring inzake euthanasie
DVR000002151|False|Huwelijksaangifte|173|Huwelijksaangifte
DVR000002152|False|Fiets huren|175|Fiets huren
DVR000002153|False|Premie voor superisolerend glas|180|Premie voor superisolerend glas
DVR000002154|False|Bewonerskaart|181|Bewonerskaart
DVR000002155|False|Jachtverlof en jachtvergunning|186|Jachtverlof en jachtvergunning
DVR000002156|False|Visverlof|187|Visverlof
DVR000002157|False|Verplichte keuring van uw privériolering voor afvoer van afval- of regenwater|188|Verplichte keuring van uw privériolering voor afvoer van afval- of regenwater
DVR000002158|False|Vrijstelling of vermindering van inschrijvingsgeld in het volwassenenonderwijs|189|Vrijstelling of vermindering van inschrijvingsgeld in het volwassenenonderwijs
DVR000002159|False|Een diploma secundair onderwijs behalen via het secundair volwassenenonderwijs (vroeger tweedekansonderwijs)|190|Een diploma secundair onderwijs behalen via het secundair volwassenenonderwijs (vroeger tweedekansonderwijs)
