Id|ExportNaarOrafin|NaamAflopend sorteren|ipdc-ID-link|Alternatieve naam ipdc (=titel)
DVR000000001|False|Werkplek duaal leren|1468|Werkplek duaal leren
DVR000000002|True|Subsidies aan havenbedrijven voor bepaalde havenkapiteindiensten|237|Subsidie aan havenbedrijven voor bepaalde havenkapiteinsdiensten
DVR000000004|True|Decretale subsidiëring topsport|514|Subsidies voor internationale topsportevenementen
DVR000000005|True|Pimp je Speelplaats|1385|Projectoproep voor Pimp je speelplaats 4
DVR000000012|True|Subsidies aan de verenigingen waar armen het woord nemen|1335|Erkenning en subsidiëring van de verenigingen waar armen het woord nemen
DVR000000018|True|Kmo-portefeuille|198|Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille)
DVR000000022|True|Erkenning en subsidiëring van voorzieningen van de bijzondere jeugdbijstand|593|Erkenning en subsidiëring van voorzieningen van de bijzondere jeugdbijstand
DVR000000024|True|Erkenning en subsidiëring van sociaal-toeristische verenigingen|577|Erkenning en subsidiëring van sociaal-toeristische verenigingen
DVR000000028|True|Vlaamse renovatiepremie (RENO)|516|Vlaamse renovatiepremie
DVR000000034|True|Subsidiëring evenementen - cat. A|514|Subsidies voor internationale topsportevenementen
DVR000000035|True|Subsidiëring evenementen - cat. B|514|Subsidies voor internationale topsportevenementen
DVR000000036|True|Subsidiëring evenementen - cat. C|514|Subsidies voor internationale topsportevenementen
DVR000000037|True|Subsidiëring evenementen - cat. D|514|Subsidies voor internationale topsportevenementen
DVR000000054|True|Erfgoedpremie|700|Erfgoedpremie voor beschermde monumenten en landschappen - standaardprocedure
DVR000000055|True|Erfgoedpremie meerjarenovereenkomst|1504|Meerjarenpremieovereenkomst voor onroerend erfgoed
DVR000000058|True|Onderzoekspremie|1545|Onderzoekspremie voor beschermde monumenten en landschappen
DVR000000059|True|Premie voor varend erfgoed - BVR van 4/6/2004|932|Onderhoudspremie en beheerspremie voor varend erfgoed
DVR000000060|True|Premie voor varend erfgoed - BVR van 27/11/2015|932|Onderhoudspremie en beheerspremie voor varend erfgoed
DVR000000079|True|Subsidies voor de opmaak van een beheerplan|398|Subsidie voor de opmaak van een bosbeheerplan
DVR000000083|True|Bebossing/herbebossing/inkomenssteun|433|Subsidie voor herbebossing en bebossing
DVR000000085|True|Ondersteuning wildbeheereenheden|196|Subsidies voor wildbeheereenheden
DVR000000088|True|Subsidie voor openstellen bos|428|Subsidie voor het openstellen van privébos
DVR000000089|True|Subsidie ecologische bosfunctie|414|Subsidie ecologische bosfunctie
DVR000000100|True|Subsidies aan autonoom vrijwilligerswerk in de zorgsector|488|Erkenning en subsidiëring van het autonoom vrijwilligerswerk in de zorgsector
DVR000000101|True|Subsidies aan voorzieningen algemeen welzijnswerk|465|Erkenning en subsidiëring van voorzieningen voor algemeen welzijnswerk
DVR000000102|True|Subsidies aan centra voor tele-onthaal|441|Erkenning en subsidiëring van de Centra voor Tele-onthaal
DVR000000104|True|Subsidies juridische eerstelijnsbijstand|38|Juridische hulp
DVR000000106|True|Projectsubsidies in het kader van armoedebestrijding|328|Subsidies voor projecten van armoedebestrijding
DVR000000145|True|Vlaamse verbeterings- en aanpassingspremie (VAP)|675|Vlaamse verbeteringspremie
DVR000000146|True|Huursubsidie|697|De Vlaamse huursubsidie
DVR000000147|True|Huurpremie|692|Vlaamse huurpremie voor kandidaat-huurders van een sociale woning
DVR000000164|True|Verzekering gewaarborgd wonen|185|Verzekering gewaarborgd wonen
DVR000000202|True|Subsidie ikv biologische productiemethode (hectaresteun)|480|Hectaresteun voor de toepassing van de biologische productiemethode
DVR000000203|True|Subsidie voor boslandbouwsystemen (agroforestry)|468|Subsidie voor boslandbouwsystemen (agroforestry)
DVR000000207|True|Subsidie ikv Kratos/bedrijfsadvies|519|KRATOS, het Vlaams Bedrijfsadviessysteem voor land- en tuinbouwers
DVR000000210|True|Subsidie ikv Europese schoolfruit, -groenten en -melkregeling|382|Subsidie voor schoolfruit, schoolgroenten en schoolmelk
DVR000000211|True|Subsidie voor zorgboerderijen|218|Subsidie voor zorgboerderijen
DVR000000212|True|Subsidie voor fokkerij|478|Subsidie voor erkende fokkerijverenigingen en -organisaties
DVR000000214|True|Subsidie voor controlekosten biologische landbouw|562|Subsidie voor controlekosten voor de biologische landbouw
DVR000000217|True|Werkingssubsidie voor VLAM (Vlaams Centrum voor Agro- en Visserijmarketing)|560|Bijdragen van  landbouw, tuinbouw, visserij en agrovoeding aan VLAM
DVR000000225|True|Kmo-groeisubsidie|1399|Kmo-groeisubsidie: steun voor groeitrajecten bij kmo's
DVR000000226|True|Ontwikkelingsproject|1539|Subsidie voor ondernemingen met een innovatief ontwikkelingsproject
DVR000000227|True|Onderzoeksproject|1540|Subsidie voor ondernemingen met een innovatief onderzoeksproject
DVR000000228|True|Strategische transformatiesteun (STS)|1146|Strategische transformatiesteun
DVR000000229|True|Ecologisch en veilig transport|1467|Subsidie voor ecologisch en veilig transport
DVR000000230|True|Ecologiepremie plus|200|Ecologiepremie Plus voor ondernemingen
DVR000000231|True|Strategische ecologiesteun (STRES)|1220|Strategische ecologiesteun voor ondernemingen
DVR000000232|True|Compensatie indirecte emissiekosten|990|Subsidie voor bedrijven ter compensatie van indirecte emissiekosten
DVR000000233|True|Hinderpremie|1440|Hinderpremie
DVR000000235|True|Innovatiemandaten|281|Innovatiemandaat
DVR000000236|True|Baekeland-mandaat|313|Baekeland-mandaat
DVR000000238|True|Bedrijventerreinen|355|Subsidie voor de (her)ontwikkeling van bedrijventerreinen
DVR000000242|True|Bedrijvencentra en doorgangsgebouwen|310|Subsidie voor bedrijvencentra en doorgangsgebouwen
DVR000000247|True|KMO-haalbaarheidsstudie|269|Subsidie voor een kmo-haalbaarheidsstudie
DVR000000248|True|KMO-innovatieprojecten|312|Subsidie voor een kmo-innovatieproject
DVR000000249|True|Sprint-Project|1230|Subsidie voor een Sprint-project
DVR000000250|True|O&O-bedrijfsproject|279|Steun aan bedrijven voor een onderzoeks- en ontwikkelingsproject (O&O-project)
DVR000000252|True|VIS-Trajecten|280|Steun voor innovatieve samenwerkingsverbanden (VIS-trajecten)
DVR000000253|True|Inkomenscompensatievergoeding - Vlaams Gewest|737|Inkomenscompensatievergoeding
DVR000000254|True|Rentetoelage voor hinder bij openbare werken|367|Rentetoelage bij hinder openbare werken
DVR000000268|True|Subsidies mobiliteitsverenigingen|256|Erkenning en subsidiëring van een mobiliteitsvereniging
DVR000000278|True|Onderzoeksinfrastructuur - Lissabonstrategie|275|Subsidie voor onderzoeksinfrastructuur
DVR000000300|True|Financiering zorg via organisaties die zorg en ondersteuning bieden: kortverblijf|82|Tijdelijke opvang in een centrum voor kortverblijf
DVR000000336|True|Beurs Circusdecreet Bijscholing en opleiding circuskunstenaars Beurzen internationale bijscholing|610|Subsidie voor circuskunsten
DVR000000337|True|Beurs Circusdecreet Bijscholing en opleiding circuskunstenaars Deelname aan opleidingen tot docent|610|Subsidie voor circuskunsten
DVR000000349|True|Decreet Jeugdverblijfcentra ondersteuningsstructuren vzw Centrum voor jeugdtoerisme|704|Subsidies voor een jeugdverblijfcentrum en hostel
DVR000000350|True|Decreet Jeugdverblijfcentra ondersteuningsstructuren vzw Vlaamse Jeugdherbergen|704|Subsidies voor een jeugdverblijfcentrum en hostel
